date,total_confirmed,total_deceased,total_recovered,key,new_confirmed,new_deceased,new_recovered
2020-06-29,1847,12,1291,RU_AD,52,0,52
2020-06-28,1795,12,1239,RU_AD,49,0,57
2020-06-27,1746,12,1182,RU_AD,34,0,33
2020-06-26,1712,12,1149,RU_AD,30,0,30
2020-06-25,1682,12,1119,RU_AD,35,0,23
2020-06-24,1647,12,1096,RU_AD,40,0,68
2020-06-23,1607,12,1028,RU_AD,38,0,26
2020-06-22,1569,12,1002,RU_AD,28,0,15
2020-06-21,1541,12,987,RU_AD,30,0,41
2020-06-20,1511,12,946,RU_AD,27,0,29
2020-06-19,1484,12,917,RU_AD,38,0,21
2020-06-18,1446,12,896,RU_AD,31,0,38
2020-06-17,1415,12,858,RU_AD,26,0,41
2020-06-16,1389,12,817,RU_AD,49,0,21
2020-06-15,1340,12,796,RU_AD,29,0,25
2020-06-14,1311,12,771,RU_AD,33,0,19
2020-06-13,1278,12,752,RU_AD,27,0,44
2020-06-12,1251,12,708,RU_AD,38,0,34
2020-06-11,1213,12,674,RU_AD,55,0,23
2020-06-10,1158,12,651,RU_AD,43,2,33
2020-06-09,1115,10,618,RU_AD,46,0,12
2020-06-08,1069,10,606,RU_AD,44,0,29
2020-06-07,1025,10,577,RU_AD,30,0,37
2020-06-06,995,10,540,RU_AD,33,1,21
2020-06-05,962,9,519,RU_AD,25,0,32
2020-06-04,937,9,487,RU_AD,33,0,22
2020-06-03,904,9,465,RU_AD,14,0,52
2020-06-02,890,9,413,RU_AD,16,0,19
2020-06-01,874,9,394,RU_AD,20,0,23
2020-05-31,854,9,371,RU_AD,41,0,17
2020-05-30,813,9,354,RU_AD,,,
2020-06-29,3909,31,2766,RU_ALT,78,0,39
2020-06-28,3831,31,2727,RU_ALT,78,0,30
2020-06-27,3753,31,2697,RU_ALT,77,1,20
2020-06-26,3676,30,2677,RU_ALT,76,1,83
2020-06-25,3600,29,2594,RU_ALT,78,0,54
2020-06-24,3522,29,2540,RU_ALT,77,0,70
2020-06-23,3445,29,2470,RU_ALT,74,2,111
2020-06-22,3371,27,2359,RU_ALT,73,0,50
2020-06-21,3298,27,2309,RU_ALT,72,2,17
2020-06-20,3226,25,2292,RU_ALT,73,1,82
2020-06-19,3153,24,2210,RU_ALT,75,0,108
