date,subregion1_code,total_tested,total_confirmed,total_hospitalized,total_intensive_care,total_ventilator,total_recovered,total_deceased,country_code,key,new_tested,new_confirmed,new_hospitalized,new_intensive_care,new_ventilator,new_recovered,new_deceased
2020-01-24,GE,4,,,,,,,CH,CH_GE,,,,,,,
2020-01-25,GE,8,,,,,,,CH,CH_GE,4,,,,,,
2020-01-26,GE,11,,,,,,,CH,CH_GE,3,,,,,,
2020-01-27,GE,18,,,,,,,CH,CH_GE,7,,,,,,
2020-01-28,GE,27,,,,,,,CH,CH_GE,9,,,,,,
2020-01-29,GE,54,,,,,,,CH,CH_GE,27,,,,,,
2020-01-30,GE,76,,,,,,,CH,CH_GE,22,,,,,,
2020-01-31,GE,93,,,,,,,CH,CH_GE,17,,,,,,
2020-02-01,GE,109,,,,,,,CH,CH_GE,16,,,,,,
2020-02-02,GE,115,,,,,,,CH,CH_GE,6,,,,,,
2020-02-03,GE,136,,,,,,,CH,CH_GE,21,,,,,,
2020-02-04,GE,156,,,,,,,CH,CH_GE,20,,,,,,
2020-02-05,GE,169,,,,,,,CH,CH_GE,13,,,,,,
2020-02-06,GE,175,,,,,,,CH,CH_GE,6,,,,,,
2020-02-07,GE,183,,,,,,,CH,CH_GE,8,,,,,,
2020-02-08,GE,192,,,,,,,CH,CH_GE,9,,,,,,
2020-02-09,GE,192,,,,,,,CH,CH_GE,0,,,,,,
2020-02-10,GE,204,,,,,,,CH,CH_GE,12,,,,,,
2020-02-11,GE,215,,,,,,,CH,CH_GE,11,,,,,,
2020-02-12,GE,223,,,,,,,CH,CH_GE,8,,,,,,
2020-02-13,GE,234,,,,,,,CH,CH_GE,11,,,,,,
2020-02-14,GE,240,,,,,,,CH,CH_GE,6,,,,,,
2020-02-15,GE,245,,,,,,,CH,CH_GE,5,,,,,,
2020-02-16,GE,246,,,,,,,CH,CH_GE,1,,,,,,
2020-02-17,GE,248,,,,,,,CH,CH_GE,2,,,,,,
2020-02-18,GE,255,,,,,,,CH,CH_GE,7,,,,,,
2020-02-19,GE,263,,,,,,,CH,CH_GE,8,,,,,,
2020-02-20,GE,268,,,,,,,CH,CH_GE,5,,,,,,
2020-02-21,GE,272,,,,,,,CH,CH_GE,4,,,,,,
2020-02-22,GE,273,,,,,,,CH,CH_GE,1,,,,,,
2020-02-23,GE,273,,,,,,,CH,CH_GE,0,,,,,,
2020-02-24,GE,302,,,,,,,CH,CH_GE,29,,,,,,
2020-02-25,GE,375,0,0,0,0,,0,CH,CH_GE,73,,,,,,
2020-02-26,GE,479,1,1,0,0,,0,CH,CH_GE,104,1,1,0,0,,0
2020-02-27,GE,630,1,1,0,0,,0,CH,CH_GE,151,0,0,0,0,,0
2020-02-28,GE,840,4,2,0,0,,0,CH,CH_GE,210,3,1,0,0,,0
2020-02-29,GE,981,8,3,0,0,,0,CH,CH_GE,141,4,1,0,0,,0
2020-03-01,GE,1083,9,3,0,0,,0,CH,CH_GE,102,1,0,0,0,,0
