date,current_hospitalized,current_intensive_care,current_ventilator,key
2020-03-16,62,10,,DK
2020-03-17,82,18,,DK
2020-03-18,129,24,,DK
2020-03-19,153,30,,DK
2020-03-20,186,37,,DK
2020-03-21,206,42,,DK
2020-03-22,232,46,,DK
2020-03-23,254,55,,DK
2020-03-24,301,69,,DK
2020-03-25,350,87,,DK
2020-03-26,386,94,,DK
2020-03-27,430,109,,DK
2020-03-28,459,121,,DK
2020-03-29,499,131,,DK
2020-03-30,533,137,,DK
2020-03-31,529,145,,DK
2020-04-01,535,146,,DK
2020-04-02,531,146,,DK
2020-04-03,516,139,,DK
2020-04-04,503,138,,DK
2020-04-05,498,138,,DK
2020-04-06,497,133,,DK
2020-04-07,472,127,,DK
2020-04-08,453,127,,DK
2020-04-09,433,120,,DK
2020-04-10,401,113,,DK
2020-04-11,408,106,,DK
2020-04-12,396,104,,DK
2020-04-13,388,100,,DK
2020-04-14,380,93,,DK
2020-04-15,362,89,,DK
2020-04-16,353,92,,DK
2020-04-17,350,93,,DK
2020-04-18,317,87,,DK
2020-04-19,319,84,,DK
2020-04-20,336,84,,DK
2020-04-21,335,81,,DK
2020-04-22,324,80,,DK
2020-04-23,319,74,,DK
2020-04-24,320,69,,DK
2020-04-25,290,70,,DK
2020-04-26,285,70,,DK
2020-04-27,310,72,,DK
2020-04-28,284,66,,DK
2020-04-29,267,66,,DK
2020-04-30,255,62,,DK
2020-05-01,249,61,,DK
2020-05-02,232,60,,DK
2020-05-03,243,62,,DK
2020-05-04,252,57,,DK
2020-05-05,228,49,39,DK
2020-05-06,209,46,41,DK
2020-05-07,199,43,39,DK
2020-05-08,205,42,35,DK
2020-05-09,194,39,32,DK
2020-05-10,196,40,33,DK
2020-05-11,198,43,33,DK
2020-05-12,177,43,32,DK
2020-05-13,164,37,32,DK
2020-05-14,147,35,28,DK
2020-05-15,137,32,26,DK
2020-05-16,140,28,22,DK
2020-05-17,133,27,21,DK
2020-05-18,144,26,21,DK
2020-05-19,141,25,18,DK
