date,cases_confirmed,cases_confirmed_new,cases_active,cases_active_new,cases_resultpending,cases_resultpending_new,cases_unconfirmed,cases_unconfirmed_new,deaths,deaths_new,recovered,recovered_new,inpatient,inpatient_new,icu,icu_new,confirmed_norte,confirmed_centro,confirmed_lvt,confirmed_alentejo,confirmed_algarve,confirmed_acores,confirmed_madeira,deaths_norte,deaths_centro,deaths_lvt,deaths_alentejo,deaths_algarve,deaths_acores,deaths_madeira,recovered_norte,recovered_centro,recovered_lvt,recovered_alentejo,recovered_algarve,recovered_acores,recovered_madeira,confirmados_desconhecidos_m,confirmados_desconhecidos_f,pop,cov_rate,lethal_rate,mortality_rate
26-02-2020,0,0,0,,,,,,0,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,0,,0
27-02-2020,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,0,,0
28-02-2020,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,0,,0
29-02-2020,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,0,,0
01-03-2020,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,0,,0
02-03-2020,2,2,2,2,,,,,0,0,0,0,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.019461658,0,0
03-03-2020,4,2,4,2,,,,,0,0,0,0,,,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.038923316,0,0
04-03-2020,6,2,6,2,,,,,0,0,0,0,,,,,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.058384974,0,0
05-03-2020,9,3,9,3,,,,,0,0,0,0,9,,,,5,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.087577462,0,0
06-03-2020,13,4,13,4,30,,,,0,0,0,0,13,4,,,8,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.12650077,0,0
07-03-2020,21,8,21,8,47,17,,,0,0,0,0,21,8,,,15,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.2043474,0,0
08-03-2020,30,9,30,9,56,9,,,0,0,0,0,30,9,,,22,1,6,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.29192486,0,0
09-03-2020,39,9,39,9,67,11,,,0,0,0,0,38,8,,,27,1,9,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.37950233,0,0
10-03-2020,41,2,41,2,83,16,,,0,0,0,0,40,2,,,27,2,10,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.39896399,0,0
11-03-2020,59,18,59,18,83,0,,,0,0,0,0,57,17,,,36,3,17,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.57411891,0,0
12-03-2020,78,19,78,19,133,50,,,0,0,0,0,69,12,,,44,5,23,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,10276617,.75900465,0,0
