date,YYYYMMDD,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90-99,age_100-109,age_unknown,gender_male,gender_female,gender_unknown,source
26-05-2020,20200526,2,1,4,31,57,130,140,100,49,10,0,0,281,243,0,https://sacoronavirus.co.za/2020/05/26/update-on-covid-19-26th-may-2020/
27-05-2020,20200527,2,1,4,32,58,138,146,106,54,11,0,0,294,258,0,https://sacoronavirus.co.za/2020/05/27/update-on-covid-19-27th-may-2020/
28-05-2020,20200528,2,1,4,33,61,144,153,113,55,11,0,0,308,269,0,https://sacoronavirus.co.za/2020/05/29/update-on-covid-19-28th-may-2020/
29-05-2020,20200529,2,1,4,34,68,152,162,120,57,11,0,0,322,289,0,https://sacoronavirus.co.za/2020/05/29/update-on-covid-19-29th-may-2020/
30-05-2020,20200530,2,2,4,39,70,160,169,124,59,14,0,0,338,305,0,https://sacoronavirus.co.za/2020/05/30/update-on-covid-19-30th-may-2020/
31-05-2020,20200531,2,2,4,40,77,174,176,133,60,15,0,0,363,320,0,https://sacoronavirus.co.za/2020/05/31/update-on-covid-19-31st-may-2020/
02-06-2020,20200602,2,3,4,42,83,197,197,143,66,18,0,0,400,355,0,https://sacoronavirus.co.za/2020/06/02/update-on-covid-19-02nd-june-2020/
03-06-2020,20200603,2,3,5,43,86,206,210,149,69,19,0,0,417,375,0,https://sacoronavirus.co.za/2020/06/03/update-on-covid-19-03rd-june-2020/
04-06-2020,20200604,2,3,5,44,93,219,227,161,74,20,0,0,450,398,0,https://sacoronavirus.co.za/2020/06/04/update-on-covid-19-04th-june-2020/
05-06-2020,20200605,2,3,7,50,105,230,247,169,75,20,0,0,481,427,0,https://sacoronavirus.co.za/2020/06/05/update-on-covid-19-05th-june-2020/
06-06-2020,20200606,2,3,8,52,110,242,258,178,79,20,0,0,504,448,0,https://sacoronavirus.co.za/2020/06/06/update-on-covid-19-06th-june-2020/
07-06-2020,20200607,2,3,11,53,119,249,271,186,82,22,0,0,525,473,0,https://sacoronavirus.co.za/2020/06/07/update-on-covid-19-07th-june-2020/
08-06-2020,20200608,2,3,14,58,126,261,299,201,92,23,0,2,567,513,0,https://sacoronavirus.co.za/2020/06/08/update-on-covid-19-08th-june-2020/
09-06-2020,20200609,2,3,16,65,136,277,320,218,95,27,0,3,606,555,1,https://sacoronavirus.co.za/2020/06/09/update-on-covid-19-09th-june-2020/
10-06-2020,20200610,3,3,17,68,145,290,335,221,96,28,0,4,621,588,1,https://sacoronavirus.co.za/2020/06/10/update-on-covid-19-10th-june-2020/
11-06-2020,20200611,3,3,17,78,159,311,352,229,100,28,0,4,653,630,1,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/
12-06-2020,20200612,3,3,19,82,169,326,368,240,107,29,0,8,684,668,2,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/
13-06-2020,20200613,3,4,21,85,179,346,387,249,111,30,0,8,728,693,2,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/
14-06-2020,20200614,3,4,21,90,188,359,404,255,117,31,0,8,757,721,2,https://sacoronavirus.co.za/2020/06/14/update-on-covid-19-14th-june-2020/
15-06-2020,20200615,3,5,21,94,200,386,422,272,122,35,0,8,809,721,2,https://sacoronavirus.co.za/2020/06/15/update-on-covid-19-15th-june-2020/
17-06-2020,20200617,3,5,23,100,216,414,445,290,131,38,0,9,874,798,2,https://sacoronavirus.co.za/2020/06/17/update-on-covid-19-17th-june-2020/
18-06-2020,20200618,3,5,24,104,223,428,458,303,140,41,0,9,903,832,2,https://sacoronavirus.co.za/2020/06/18/update-on-covid-19-18th-june-2020/
19-06-2020,20200619,3,5,26,109,231,446,487,320,153,42,0,9,951,878,2,https://sacoronavirus.co.za/2020/06/19/update-on-covid-19-19th-june-2020/
20-06-2020,20200620,3,5,26,115,237,459,493,329,156,45,0,9,976,899,2,https://sacoronavirus.co.za/2020/06/20/update-on-covid-19-20th-june-2020/
21-06-2020,20200621,3,5,26,116,244,471,506,342,161,45,0,11,1003,925,2,https://sacoronavirus.co.za/2020/06/21/update-on-covid-19-21st-june-2020/
22-06-2020,20200622,3,5,27,118,255,487,522,352,165,46,0,11,1087,1013,2,https://sacoronavirus.co.za/2020/06/22/update-on-covid-19-22nd-june-2020/
23-06-2020,20200623,3,5,28,123,268,509,550,376,179,49,1,11,1087,1013,2,https://sacoronavirus.co.za/2020/06/23/update-on-covid-19-23rd-june-2020/
24-06-2020,20200624,3,5,30,127,280,529,581,392,190,55,1,12,1146,1057,2,https://sacoronavirus.co.za/2020/06/24/update-on-covid-19-24th-june-2020/
25-06-2020,20200625,3,5,33,133,289,552,603,407,197,55,1,14,1193,1097,2,https://sacoronavirus.co.za/2020/06/25/update-on-covid-19-25th-june-2020/
26-06-2020,20200626,3,5,34,134,295,565,620,414,200,55,1,14,1224,1114,2,https://sacoronavirus.co.za/2020/06/26/update-on-covid-19-26th-june-2020/
27-06-2020,20200627,3,6,35,138,305,582,639,429,205,55,1,15,1262,1149,2,https://sacoronavirus.co.za/2020/06/27/update-on-covid-19-27th-june-2020/
29-06-2020,20200629,3,7,39,148,322,601,667,452,214,58,,18,1327,1199,3,https://sacoronavirus.co.za/2020/06/29/update-on-covid-19-29th-june-2020/
30-06-2020,20200630,3,7,41,158,330,633,694,477,234,61,,19,1395,1259,3,https://sacoronavirus.co.za/2020/06/30/update-on-covid-19-30th-june-2020/
01-07-2020,20200701,3,7,43,164,339,652,717,492,246,65,,21,1444,1301,4,https://sacoronavirus.co.za/2020/07/01/update-on-covid-19-01st-july-2020/
