date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-05-19,AU,,,47,,,11,,,7
2020-05-19,DK,,,141,,,25,,,18
2020-05-19,FR_ARA,51,10438,,,,,,,
2020-05-19,FR_ARA_01,5,601,,,,,,,
2020-05-19,FR_ARA_03,5,220,,,,,,,
2020-05-19,FR_ARA_07,4,633,,,,,,,
2020-05-19,FR_ARA_15,0,70,,,,,,,
2020-05-19,FR_ARA_26,1,704,,,,,,,
2020-05-19,FR_ARA_38,5,849,,,,,,,
2020-05-19,FR_ARA_42,1,1328,,,,,,,
2020-05-19,FR_ARA_43,0,151,,,,,,,
2020-05-19,FR_ARA_63,3,248,,,,,,,
2020-05-19,FR_ARA_69,22,4126,,,,,,,
2020-05-19,FR_ARA_73,2,476,,,,,,,
2020-05-19,FR_ARA_74,3,1032,,,,,,,
2020-05-19,FR_BFC,16,5095,,,,,,,
2020-05-19,FR_BFC_21,1,1269,,,,,,,
2020-05-19,FR_BFC_25,2,776,,,,,,,
2020-05-19,FR_BFC_39,1,353,,,,,,,
2020-05-19,FR_BFC_58,0,128,,,,,,,
2020-05-19,FR_BFC_70,0,365,,,,,,,
2020-05-19,FR_BFC_71,9,1089,,,,,,,
2020-05-19,FR_BFC_89,2,412,,,,,,,
2020-05-19,FR_BFC_90,1,703,,,,,,,
2020-05-19,FR_BRE,6,1529,,,,,,,
2020-05-19,FR_BRE_22,2,261,,,,,,,
2020-05-19,FR_BRE_29,1,230,,,,,,,
2020-05-19,FR_BRE_35,3,560,,,,,,,
2020-05-19,FR_BRE_56,0,478,,,,,,,
2020-05-19,FR_COR,1,402,,,,,,,
2020-05-19,FR_COR_2A,0,248,,,,,,,
2020-05-19,FR_COR_2B,1,154,,,,,,,
2020-05-19,FR_CVL,9,3010,,,,,,,
2020-05-19,FR_CVL_18,2,289,,,,,,,
2020-05-19,FR_CVL_28,2,717,,,,,,,
2020-05-19,FR_CVL_36,0,277,,,,,,,
2020-05-19,FR_CVL_37,1,492,,,,,,,
2020-05-19,FR_CVL_41,2,405,,,,,,,
2020-05-19,FR_CVL_45,2,830,,,,,,,
2020-05-19,FR_GES,103,16944,,,,,,,
2020-05-19,FR_GES_08,29,341,,,,,,,
2020-05-19,FR_GES_10,1,923,,,,,,,
2020-05-19,FR_GES_51,2,1379,,,,,,,
2020-05-19,FR_GES_52,0,417,,,,,,,
2020-05-19,FR_GES_54,11,1602,,,,,,,
2020-05-19,FR_GES_55,10,657,,,,,,,
2020-05-19,FR_GES_57,15,3420,,,,,,,
2020-05-19,FR_GES_67,13,3382,,,,,,,
2020-05-19,FR_GES_68,21,3866,,,,,,,
2020-05-19,FR_GES_88,1,957,,,,,,,
2020-05-19,FR_GF,4,69,,,,,,,
2020-05-19,FR_GUA,0,123,,,,,,,
2020-05-19,FR_HDF,51,9077,,,,,,,
2020-05-19,FR_HDF_02,3,1387,,,,,,,
2020-05-19,FR_HDF_59,21,3153,,,,,,,
2020-05-19,FR_HDF_60,15,1611,,,,,,,
2020-05-19,FR_HDF_62,11,1862,,,,,,,
2020-05-19,FR_HDF_80,1,1064,,,,,,,
