date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-21,AD,0,0,,,855,52,,
2020-06-21,AE,392,1,,,44925,302,,
2020-06-21,AF,409,12,,,28833,581,,
2020-06-21,AG,0,0,,,26,3,,
2020-06-21,AI,0,0,,,3,0,,
2020-06-21,AL,36,1,,,1927,44,,
2020-06-21,AM,880,28,,,20588,360,,
2020-06-21,AO,4,1,,,176,9,,
2020-06-21,AR,1581,19,,5719,42772,1011,,285391
2020-06-21,AR_A,0,0,,,20,9,,
2020-06-21,AR_B,746,9,0,,19329,448,120,
2020-06-21,AR_C,899,11,0,,24034,477,301,
2020-06-21,AR_D,0,0,0,,10,3,6,
2020-06-21,AR_E,9,0,0,,144,78,10,
2020-06-21,AR_F,0,0,0,,64,8,2,
2020-06-21,AR_G,0,0,0,,22,8,3,
2020-06-21,AR_H,51,0,0,,1587,85,56,
2020-06-21,AR_J,1,,,,8,,,
2020-06-21,AR_K,0,,,,492,,,
2020-06-21,AR_L,0,0,,,6,12,,
2020-06-21,AR_M,1,0,0,,125,9,5,
2020-06-21,AR_N,0,0,,,38,3,,
2020-06-21,AR_P,2,,,,43,,,
2020-06-21,AR_Q,14,0,0,,324,9,2,
2020-06-21,AR_R,17,2,0,,692,36,7,
2020-06-21,AR_S,7,0,0,,337,4,27,
2020-06-21,AR_T,0,0,0,,58,5,3,
2020-06-21,AR_U,3,0,,,96,1,,
2020-06-21,AR_V,0,0,0,,136,0,36,
2020-06-21,AR_W,0,0,0,,113,6,5,
2020-06-21,AR_X,13,0,0,,568,36,38,
2020-06-21,AR_Y,3,0,0,,42,1,3,
2020-06-21,AR_Z,0,0,0,,51,6,5,
2020-06-21,AT,38,2,,5216,17285,690,,565800
2020-06-21,AT_11,0,0,,-364,346,11,,15378
2020-06-21,AT_12,7,0,,1333,2947,100,,97526
2020-06-21,AT_13,10,2,,967,3661,189,,145983
2020-06-21,AT_21,0,0,,-783,422,13,,22596
2020-06-21,AT_22,1,0,,341,1851,151,,60808
2020-06-21,AT_31,5,0,,286,2346,61,,73567
2020-06-21,AT_32,4,0,,204,1239,38,,36000
2020-06-21,AT_33,0,0,,202,3542,108,,81827
2020-06-21,AT_34,0,0,,190,907,19,,26899
2020-06-21,AU,25,0,,66525,7461,102,,2107849
2020-06-21,AU_ACT,0,0,0,341,108,3,105,25905
2020-06-21,AU_NSW,5,0,0,13643,3149,48,2771,725817
2020-06-21,AU_NT,0,0,0,116,29,0,30,11533
2020-06-21,AU_QLD,0,0,0,2828,1066,6,1053,274688
2020-06-21,AU_SA,0,0,0,912,440,4,436,137290
2020-06-21,AU_TAS,0,0,0,203,228,13,215,44025
2020-06-21,AU_VIC,19,0,8,15400,1836,19,1694,660801
2020-06-21,AU_WA,1,0,0,6503,605,9,593,165265
2020-06-21,AW,0,0,,,101,3,,
2020-06-21,AZ,491,6,,,12729,154,,
2020-06-21,BA,0,0,,,3354,169,,
2020-06-21,BB,0,0,,,97,7,,
2020-06-21,BD,3531,39,,15555,112306,1464,,630719
2020-06-21,BE,17,9,,7550,60798,9712,,894888
2020-06-21,BF,1,0,,,903,53,,
2020-06-21,BG,33,0,,,3905,199,,116780
2020-06-21,BH,433,3,,,21764,63,,485715
2020-06-21,BI,0,0,,,144,1,,
2020-06-21,BJ,115,2,,,765,13,,
2020-06-21,BM,0,0,,,146,9,,
2020-06-21,BN,0,0,,,141,3,,
2020-06-21,BO,876,33,,2666,24388,773,,61455
2020-06-21,BO_B,32,6,,,3613,184,,
2020-06-21,BO_C,191,6,,,2551,107,,
2020-06-21,BO_H,48,6,,,301,21,,
2020-06-21,BO_L,235,8,,,1780,63,,
2020-06-21,BO_N,6,0,,,482,12,,
2020-06-21,BO_O,19,2,0,,488,38,1,
2020-06-21,BO_P,4,0,,,428,13,,
2020-06-21,BO_S,334,5,0,,14499,327,5,
2020-06-21,BO_T,7,0,0,,246,8,1,
2020-06-21,BQ,0,0,,,7,0,,
2020-06-21,BR,17459,641,,,1085038,50617,,
2020-06-21,BR_AC,118,3,,,11381,300,,
2020-06-21,BR_AL,959,18,,,28657,884,,
2020-06-21,BR_AM,508,7,,,63410,2657,,
2020-06-21,BR_AP,266,6,,,21840,359,,
2020-06-21,BR_BA,975,41,,,46279,1391,,
2020-06-21,BR_CE,710,5,,,92866,5523,,
2020-06-21,BR_DF,989,19,,,33227,423,,
2020-06-21,BR_ES,642,29,,,34858,1326,,
2020-06-21,BR_GO,739,8,,,15619,303,,
2020-06-21,BR_MA,386,37,,,70059,1721,,
2020-06-21,BR_MG,336,25,,,27641,661,,
2020-06-21,BR_MS,247,2,,,5237,45,,
2020-06-21,BR_MT,508,25,,,9470,360,,
2020-06-21,BR_PA,1773,64,,,84654,4583,,
2020-06-21,BR_PB,263,23,,,36784,766,,
2020-06-21,BR_PE,995,86,,,52113,4234,,
2020-06-21,BR_PI,451,26,,,14264,485,,
