key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-02-25,,,,,3233,140,,,,,,-52,-32,-48,-30,-75,15,400473,-15,-68.333333,,133985,,,85141099999,108.04368,21.958333,15.826389,26.284722,10.268857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-02-26,0,0,,,3233,140,,,,,,-21,-8,-12,-10,14,0,400473,-15,-68.333333,,133985,,,85141099999,108.04368,19.8125,16.236111,23.243056,10.2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-02-27,0,0,,,3233,140,,,,,,-12,-5,-6,-9,20,-1,400473,-15,-68.333333,,133985,,,85141099999,108.04368,21.590278,16.0625,25.222222,14.7955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-02-28,0,0,,,3233,140,,,,,,-6,4,1,-10,22,-2,400473,-15,-68.333333,,133985,,,85141099999,108.04368,22.729167,15.951389,26.368056,2.12725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-02-29,0,0,,,3233,140,,,,,,-4,9,3,-6,14,1,400473,-15,-68.333333,,133985,,,85141099999,108.04368,23.333333,16.597222,26.854167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-03-01,0,0,,,3233,140,,,,,,-8,2,0,-14,1,4,400473,-15,-68.333333,,133985,,,85141099999,108.04368,23.569444,16.506944,27.680556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-03-02,0,0,,,3233,140,,,,,,-8,0,-1,-12,25,-3,400473,-15,-68.333333,,133985,,,85141099999,108.04368,23.270833,15.631944,27.263889,0.18142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-03-03,0,0,,,3233,140,,,,,,-6,2,0,-10,25,-3,400473,-15,-68.333333,,133985,,,85141099999,108.04368,23.784722,15.618056,28.041667,3.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-03-04,0,0,,,3233,140,,,,,,-4,5,3,-5,29,-3,400473,-15,-68.333333,,133985,,,85141099999,108.04368,20.574074,14.166667,24.953704,0.33866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
BO_L,Q272784,,BO,Bolivia,L,La Paz,,,BO,BOL,1,2020-03-05,0,0,,,3233,140,,,,,,-4,4,3,-2,27,-3,400473,-15,-68.333333,,133985,,,85141099999,108.04368,23.666667,16.486111,27.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019,,,,,,,,,
