key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-03-31,1,0,0,,1,0,0,,,,,-73,-46,-62,-70,-58,23,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.083333,25.194444,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-08,0,0,1,,1,0,1,,,,,-69,-39,-57,-68,-56,21,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.916667,26.486111,34.458333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-18,1,0,0,,2,0,1,,,,,-74,-57,-65,-76,-47,22,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,31.166667,26.138889,35.055556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-20,0,1,0,,2,1,1,,,,,-70,-48,-57,-73,-47,23,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.666667,26.125,35.194444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-24,0,0,1,,2,1,2,,,,,-70,-51,-62,-75,-42,24,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,31.861111,26.777778,36.166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-25,3,0,0,,5,1,2,,,,,-73,-56,-65,-74,-44,23,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,31.208333,26.319444,35.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-04-29,4,0,0,,9,1,2,,,,,-64,-44,-55,-67,-44,21,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.555556,26.458333,34.652778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-05-03,1,1,0,,10,2,2,,,,,-75,-61,-69,-79,-40,19,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.791667,27.472222,34.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-05-04,0,1,0,,10,3,2,,,,,-64,-44,-54,-70,-41,22,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,30.638889,27.527778,33.819444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
CO_44,Q272747,,CO,Colombia,44,La Guajira,,,CO,COL,1,2020-05-05,4,0,2,,14,3,4,,,,,-64,-45,-54,-66,-43,22,1321379,11.55,-72.9,36,20848,,,80035099999,3.8929729,31.569444,27.222222,35.180556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965718,718242,742467,,,,,,0.76,329414,257887,242189,205533,152985,127428,87150,41018,13684,3421,,,,,,,,,
