key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-05,1,0,0,,1,0,0,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.125,19.743056,27.8125,6.25475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-13,0,0,1,,1,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.041667,18.965278,28.034722,3.4108571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-23,4,0,0,,5,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,23.472222,19.138889,27.340278,3.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-25,1,0,0,,6,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.826389,20.138889,29.013889,1.3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-28,1,0,0,,7,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.37037,19.444444,29.231481,1.6086667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-29,2,0,0,,9,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,23.595238,18.793651,27.730159,3.7737143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-04-30,1,0,0,,10,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,25.018519,19.296296,29.712963,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-03,1,0,0,,11,0,1,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,23.770833,20.236111,27.270833,2.88925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-04,0,0,1,,11,0,2,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.298611,19.972222,27.534722,11.77925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-06,2,0,1,,13,0,3,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.458333,20.118056,27.916667,1.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-11,0,0,3,,13,0,6,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.916667,20.520833,28.895833,2.38125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-13,0,0,1,,13,0,7,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,21.048611,18.222222,24.152778,12.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-16,1,0,0,,14,0,7,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,25.904762,20.888889,30.111111,0.10885714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-17,1,0,0,,15,0,7,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.896825,21.325397,28.285714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-19,0,0,1,,15,0,8,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,22.256944,19.833333,25.409722,4.2817143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-21,0,0,1,,15,0,9,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,25.277778,20.513889,28.8125,0.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-22,0,0,1,,15,0,10,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,24.5625,20.527778,27.902778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-05-31,0,0,2,,15,0,12,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,22.930556,19.375,26.402778,4.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO_50_50006,Q2429780,,CO,Colombia,50,Meta,50006,Acacías,CO,COL,2,2020-06-02,0,0,1,,15,0,13,,,,,,,,,,,,3.9888889,-73.764722,498,1129,,,80234099999,26.01042,23.368056,19,27.048611,3.39725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75252,,,,,,,,,,,,,,,,,,,,,,,,,,,
