key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-13,,,,,4,,,,,,,-23,13,5,-35,-23,7,442455,50.7,15,555,3163,,,11603099999,7.547887,2.8944444,0.044444444,5.3722222,1.3462,360.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-20,4,,,,8,,,,,,,-67,-11,-32,-57,-39,21,442455,50.7,15,555,3163,,,11603099999,7.547887,5.4833333,1.1333333,9.9277778,0.03175,685.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-21,1,,,,9,,,,,,,-77,-20,-47,-66,-31,14,442455,50.7,15,555,3163,,,11603099999,7.547887,-1.0864198,-4.9691358,1.1790123,3.07975,690.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-22,2,,,,11,,,,,,,-76,-26,-37,-66,-35,11,442455,50.7,15,555,3163,,,11603099999,7.547887,-4.5987654,-7.7530864,-1.3271605,0.22225,474.13333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-23,2,,,,13,,,,,,,-59,-16,-1,-54,-41,20,442455,50.7,15,555,3163,,,11603099999,7.547887,-4.6975309,-9.0123457,-0.25308642,3.3866667,685.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-24,4,,,,17,,,,,,,-60,-14,7,-52,-42,20,442455,50.7,15,555,3163,,,11603099999,7.547887,-3.3641975,-8.5864198,1.8765432,0,675.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-25,4,,,,21,,,,,,,-59,-12,5,-53,-42,19,442455,50.7,15,555,3163,,,11603099999,7.547887,-2.1790123,-8.1666667,3.4012346,0,660.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-26,12,,,,33,,,,,,,-62,-14,-13,-56,-43,20,442455,50.7,15,555,3163,,,11603099999,7.547887,0.27160494,-5.8580247,5.9691358,0,645.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-27,13,,,,46,,,,,,,-62,-11,23,-56,-43,21,442455,50.7,15,555,3163,,,11603099999,7.547887,6.2037037,-1.1296296,12.746914,0,619.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
CZ_51,Q193266,nuts/CZ051,CZ,Czech Republic,51,Liberec Region,,,CZ,CZE,1,2020-03-28,23,,,,69,,,,,,,-71,-18,53,-50,-29,10,442455,50.7,15,555,3163,,,11603099999,7.547887,5.9444444,-0.45061728,11.567901,0,579.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443690,216048,223747,,,,,,,46553,43461,45924,61282,72265,55072,54934,41971,14666,3667,,,,,,,,,
