key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-19,,0,5,,,0,5,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,4.8888889,-1.7222222,14.611111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,11,11,22,,,2,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-20,,0,5,,,0,10,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,3.5,-1.1111111,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,8,19,27,,,2,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-21,,0,4,,,0,14,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,4.6666667,-2.6111111,13.888889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,13,32,30,,,2,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-22,,1,1,,,1,15,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,2.8333333,-0.27777778,5.5,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,8,40,36,,,2,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-23,,1,4,,,2,19,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,-0.88888889,-3,1.7222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,16,56,51,,,7,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-24,,0,12,,,2,31,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,-3.4444444,-7.7222222,0.72222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,21,77,59,,,7,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-25,,0,7,,,2,38,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,-4.8333333,-9,-0.22222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,29,106,79,,,16,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-26,,1,8,,,3,46,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,-2.8888889,-8,0.61111111,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,19,125,88,,,18,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-27,,0,6,,,3,52,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,0.77777778,-1.5,2.8888889,1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,35,160,114,,,29,,,
FR_ARA_38,Q12559,,FR,France,ARA,Auvergne-Rhône-Alpes,38,Isère,FR,FRA,2,2020-03-28,,2,5,,,5,57,,,,,,,,,,,7437,45.183333,5.7166667,846,7431,,,16058099999,90.827247,4.6111111,-0.11111111,12.611111,3.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258722,649525,687547,,,,,,,160047,165357,158061,159429,168753,173750,157689,112190,65437,16359,15,175,120,,,30,,,
