key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-03-26,,,,,15,,,,,,,-73,-32,,-56,-56,26,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-03-27,2,,,,17,,,,,,,-73,-29,-32,-59,-57,27,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-03-30,10,,,,27,,,,,,,-72,-34,,-59,-63,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-03-31,2,,,,29,,,,,,,-73,-32,,-60,-65,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-01,3,,,,32,,,,,,,-74,-31,,-63,-63,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-02,5,,,,37,,,,,,,-76,-31,,-63,-64,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-03,3,,,,40,,,,,,,-74,-27,-48,-64,-64,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-06,2,,,,42,,,,,,,-69,-28,,-59,-63,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-07,1,,,,43,,,,,,,-71,-27,,-52,-63,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-08,0,,,,43,,,,,,,-68,-23,,-55,-62,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-09,0,,,,43,,,,,,,-66,-18,,-47,-64,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-10,9,,,,52,,,,,,,-71,-23,-52,-59,-68,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-15,9,,,,61,,,,,,,-65,-19,,-54,-62,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-04-16,0,,,,61,,,,,,,-68,-20,,-53,-62,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-03,9,,,,70,,,,,,,-78,-28,-27,-40,-37,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-04,3,,,,73,,,,,,,-60,-20,,-44,-56,22,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-05,0,,,,73,,,,,,,-63,-20,,-39,-54,21,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-06,1,,,,74,,,,,,,-61,-14,,-37,-53,22,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-07,1,,,,75,,,,,,,-63,-11,,-44,-54,24,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-08,0,,,,75,,,,,,,-70,-21,-23,-47,-65,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-09,0,,,,75,,,,,,,-73,-14,-29,-36,-43,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-10,2,,,,77,,,,,,,-75,-24,-42,-52,-37,,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-11,0,,,,77,,,,,,,-56,-13,,-38,-50,20,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-12,1,,,,78,,,,,,,-61,-17,,-41,-51,21,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-13,0,,,,78,,,,,,,-61,-17,,-38,-51,22,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-14,0,,,,78,,,,,,,-61,-13,,-40,-50,21,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
GB_NIR_N09000006,Q5444365,,GB,United Kingdom,NIR,Northern Ireland,N09000006,Fermanagh and Omagh,GB,GBR,2,2020-05-15,0,,,,78,,,,,,,-64,-13,-35,-49,-50,23,4183318,54.545,-7.494,,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116835,59652,62338,,,,,,,14495,13699,16288,16388,15223,16410,12957,10339,4953,1238,,,,,,,,,
