key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2019-12-30,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,,,,,,,,,,,,,,,,,,,,,,,,,,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2019-12-31,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,,,,,,,,,,,,,,,,,,,,,,,,,,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-01,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,5.9944444,2.0611111,9.7333333,0.4572,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-02,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,7.1611111,2.9277778,11.172222,3.7084,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-03,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,8.5944444,3.8944444,12.605556,2.0066,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-04,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,8,4.3555556,11.533333,2.0574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-05,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,5.6055556,1.9,8.7111111,1.0724444,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-06,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,7.1277778,2.1944444,10.816667,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-07,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,7.1388889,3.9333333,10.211111,5.6515,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.78,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
JP,Q17,country/JPN,JP,Japan,,,,,JP,JPN,0,2020-01-08,0,0,,,0,0,,,4971323079772,39290,0.844,,,,,,,382313,35,136,,377970,260650,108678,47759099999,24.398326,11.577778,6.9,16.744444,14.957778,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.78,84.210976,22.1,5.6,1.8,66.483,35.709,11.9,8.4,,12.1531,2.4115,4168.9863,535.61957,126529100,61797750,64731350,10608200,115920900,37468302,81773280,347.07346,0.909,10434194,11122056,12161093,14334666,18349011,16310000,15636076,15878160,8801018,2200255,,,,,,,,,
