key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-18,1,0,,,1,0,,,13063873078,2021,0.531,-9,3,-4,-4,12,0,287666,13,-85,,130370,115694,2882,78734099999,106.91798,28.520833,23.875,31.8125,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-19,0,0,,,1,0,,,13063873078,2021,0.531,-18,10,-12,-9,4,4,287666,13,-85,,130370,115694,2882,78734099999,106.91798,27.888889,22.5,31.298611,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-20,1,0,,,2,0,,,13063873078,2021,0.531,-23,-3,-16,-14,0,5,287666,13,-85,,130370,115694,2882,78734099999,106.91798,27.770833,22.298611,31.173611,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-21,0,0,,,2,0,,,13063873078,2021,0.531,-35,-12,-26,-26,-9,9,287666,13,-85,,130370,115694,2882,78734099999,106.91798,28.034722,22.375,31.5,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-22,0,0,,,2,0,,,13063873078,2021,0.531,-45,-23,-33,-33,-13,10,287666,13,-85,,130370,115694,2882,78734099999,106.91798,27.506944,22.951389,30.986111,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-23,0,0,,,2,0,,,13063873078,2021,0.531,-29,-15,-20,-24,-8,8,287666,13,-85,,130370,115694,2882,78734099999,106.91798,27.590278,22,31.125,0.4572,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-24,0,0,,,2,0,,,13063873078,2021,0.531,-32,-19,-21,-27,-13,9,287666,13,-85,,130370,115694,2882,78734099999,106.91798,28.291667,22.284722,31.263889,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-25,0,0,,,2,0,,,13063873078,2021,0.531,-35,-22,-22,-27,-14,10,287666,13,-85,,130370,115694,2882,78734099999,106.91798,29.104167,23.75,32.125,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-26,0,0,,,2,0,,,13063873078,2021,0.531,-36,-24,-23,-28,-16,11,287666,13,-85,,130370,115694,2882,78734099999,106.91798,28.444444,22.75,31.638889,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
NI,Q811,country/NIC,NI,Nicaragua,,,,,NI,NIC,0,2020-03-27,0,1,,,2,1,,,13063873078,2021,0.531,-36,-21,-23,-30,-15,11,287666,13,-85,,130370,115694,2882,78734099999,106.91798,28.701389,22.9375,32.125,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,8.33,74.275,,11.4,15.7,200.678,102.575,55.7,14.2,,1.5334,0.9775,192.08339,62.617363,6465513,3186676,3278837,2681765,3783748,1047923,1047923,53.727048,0.658,1281787,1288946,1228519,1107200,791585,526421,378174,164324,74428,18607,,,,,,,,,
