wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-13,,,,,0,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,7.037037,4,9.6666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,,0,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-14,1,0,,,1,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,6.8888889,1,11.5,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,0,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-15,1,0,,,2,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,9.6944444,5.5,14,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,0,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-16,0,0,,,2,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,9.7592593,4.3333333,14,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,0,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-17,1,0,,,3,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,10.148148,4.6666667,15,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,1,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-18,0,0,,,3,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,10.962963,5.3333333,17,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,1,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-19,0,0,,,3,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,10.87037,4,16.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,1,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-20,4,0,,,7,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,8.1666667,5.6666667,10,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,1,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-21,-1,0,,,6,0,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,6,2,10,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,2,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-03-22,2,1,,,8,1,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,4.8611111,0.5,10.5,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,3,,,,,,,
