key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-13,,,,,23,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,7.25,4.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,,3,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-14,12,0,,,35,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10437499999,52.343379,6.9444444,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,0,3,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-15,2,0,,,37,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10437499999,52.343379,9.5,5,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,0,3,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-16,1,0,,,38,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,9.7777778,5.5,13.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,0,3,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-17,4,0,,,42,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,10.222222,4.5,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,0,3,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-18,9,0,,,51,2,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,10.916667,5.5,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,4,7,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-19,0,1,,,51,3,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,10.75,3.5,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,0,7,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-20,9,2,,,60,5,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,8.1111111,6.5,9.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,2,9,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-21,-2,0,,,58,5,,,,,,,,,,,,405681,51,5.85,47,81,,,10437499999,52.343379,5.9444444,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,-1,8,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-22,1,3,,,59,8,,,,,,,,,,,,405681,51,5.85,47,81,,,10437499999,52.343379,5.1111111,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,2,10,,,,,,,
NL_LI_1883,Q9781,,NL,Netherlands,LI,Limburg,1883,Sittard-Geleen,NL,NLD,2,2020-03-23,3,2,,,62,10,,,,,,,,,,,,405681,51,5.85,47,81,,,10500099999,14.127955,4.5277778,0.5,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92661,44951,45405,,,,,,,9404,10291,11594,11072,11372,13105,10986,8194,3470,868,1,11,,,,,,,
