key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-14,1,0,0,,1,0,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,26.765432,23.358025,31.506173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-18,1,0,0,,2,0,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,27.883333,24.555556,31.655556,1.5748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-20,1,0,0,,3,0,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.366667,24.4,31.966667,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,3,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-21,1,1,0,,4,1,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.761111,24.388889,32.538889,0.8128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,4,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-23,2,0,0,,6,1,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.228395,23.91358,32.518519,0.028222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,2,6,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-26,2,0,0,,8,1,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.738889,25.788889,32.35,2.2013333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,6,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-28,1,0,0,,9,1,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.655556,24.95,32.5,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,7,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-29,0,1,0,,9,2,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.877778,24.727778,32.633333,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,7,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-30,3,0,0,,12,2,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.972222,25.011111,32.583333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,7,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-03-31,1,1,0,,13,3,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.722222,24.605556,32.4,0.8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,8,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-01,1,0,0,,14,3,0,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.694444,24.727778,31.972222,0.11288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,9,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-03,0,0,1,,14,3,1,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.394444,25.355556,32.061111,0.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,9,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-04,1,0,0,,15,3,1,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.794444,24.844444,32.644444,5.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,10,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-05,1,0,0,,16,3,1,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.611111,24.388889,32.516667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,10,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-08,1,1,0,,17,4,1,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,28.727778,24.488889,32.538889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,10,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-09,2,0,1,,19,4,2,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,29.005556,24.955556,32.816667,0.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,1,11,,,,,,,
PH_06_ILI,Q13825,,PH,Philippines,06,Western Visayas,ILI,Iloilo,PH,PHL,2,2020-04-10,2,0,0,,21,4,2,,,,,,,,,,,1506774,11,122.66667,,5001,,,98538099999,67.163446,29.083333,24.961111,32.872222,0.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936423,,,,,,,,,,,,,,,,,,,0,11,,,,,,,
