key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-06,1,0,,,1,0,,,105904632156,19444,0.694,-4,4,-8,-5,-5,3,14296,49,20,,49030,,,11934099999,19.405595,-1.1611111,-4.6222222,1.4333333,1.0414,1543.812,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,16.67,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-07,2,0,,,3,0,,,105904632156,19444,0.694,-2,8,-2,-2,2,1,14296,49,20,,49030,,,11934099999,19.405595,-0.26666667,-2.9833333,2.6166667,1.6002,1512.316,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,16.67,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-08,2,0,,,5,0,,,105904632156,19444,0.694,5,23,18,8,3,0,14296,49,20,,49030,,,11934099999,19.405595,-1.1055556,-3.5111111,1.6166667,0.3556,1496.06,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,16.67,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-10,2,0,,,7,0,,,105904632156,19444,0.694,-7,9,26,-11,-7,2,14296,49,20,,49030,,,11934099999,19.405595,0.74444444,-4.8833333,6.2055556,0,1402.08,3,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,37.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-11,3,0,,,10,0,,,105904632156,19444,0.694,-13,6,-10,-22,-11,6,14296,49,20,,49030,,,11934099999,19.405595,4.5277778,-0.45,7.7333333,1.524,1748.155,3,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,37.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-12,11,0,,,21,0,,,105904632156,19444,0.694,-12,20,19,-24,-16,6,14296,49,20,,49030,,,11934099999,19.405595,6.8,2.8388889,10.783333,3.048,2290.2333,3,0,2,3,0,1,0,2,0,0,0,0,2,1,2,0,0,49.07,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-13,9,0,,,30,0,,,105904632156,19444,0.694,-38,11,-23,-44,-26,13,14296,49,20,,49030,,,11934099999,19.405595,2.0888889,-1.55,6.0111111,0.6858,2444.75,3,2,2,3,0,1,0,4,0,0,0,0,2,1,2,0,0,62.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-14,14,0,,,44,0,,1545,105904632156,19444,0.694,-69,-24,-29,-50,-22,10,14296,49,20,,49030,,,11934099999,19.405595,-2.0166667,-6.9666667,1.6722222,0.127,2429.51,3,2,2,3,1,1,0,4,0,0,0,0,2,1,2,0,0,67.59,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-15,17,0,,368,61,0,,1913,105904632156,19444,0.694,-74,-35,-18,-56,-29,9,14296,49,20,,49030,,,11934099999,19.405595,-2.8222222,-9.5,3.7944444,0.1524,2139.5267,3,2,2,3,1,1,0,4,0,0,0,0,2,1,2,0,0,67.59,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-16,23,0,,,84,0,,,105904632156,19444,0.694,-65,-15,-26,-58,-44,19,14296,49,20,,49030,,,11934099999,19.405595,0.22777778,-6.8833333,6.2722222,0,2087.0333,3,2,2,3,1,1,1,4,0,0,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-17,13,0,,,97,0,,1991,105904632156,19444,0.694,-71,-27,-12,-60,-50,20,14296,49,20,,49030,,,11934099999,19.405595,3.2888889,-3.0777778,10.027778,0,2030.3067,3,2,2,3,1,1,1,4,0,0,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-18,10,0,,448,107,0,,2439,105904632156,19444,0.694,-70,-24,3,-61,-51,21,14296,49,20,,49030,,,11934099999,19.405595,5.0611111,-1.2944444,11.777778,0,1965.96,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-19,16,0,,268,123,0,,2707,105904632156,19444,0.694,-69,-24,5,-60,-51,21,14296,49,20,,49030,,,11934099999,19.405595,6.4333333,0.066666667,13.033333,0,1877.06,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-20,14,0,,540,137,0,,3247,105904632156,19444,0.694,-71,-26,-5,-63,-51,23,14296,49,20,,49030,,,11934099999,19.405595,5.7555556,0.95555556,10.788889,0,1833.88,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-21,41,0,,242,178,0,,3489,105904632156,19444,0.694,-82,-36,-71,-70,-41,16,14296,49,20,,49030,,,11934099999,19.405595,-1.1666667,-5.4833333,3.7888889,2.8702,1138.428,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-22,7,0,,29,185,0,,3518,105904632156,19444,0.694,-80,-42,-50,-69,-40,13,14296,49,20,,49030,,,11934099999,19.405595,-7.4,-9.8833333,-4.0388889,9.7931111,984.67333,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-23,6,0,,,191,0,,,105904632156,19444,0.694,-69,-25,-45,-66,-50,22,14296,49,20,,49030,,,11934099999,19.405595,-7.6444444,-9.5166667,-5.6944444,3.683,1051.9833,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-24,13,0,,,204,0,,,105904632156,19444,0.694,-69,-26,-24,-63,-51,21,14296,49,20,,49030,,,11934099999,19.405595,-6.2611111,-10.238889,-1.8333333,2.032,1043.5167,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-25,12,0,,,216,0,,5664,105904632156,19444,0.694,-70,-28,-36,-65,-51,23,14296,49,20,,49030,,,11934099999,19.405595,-5.2611111,-10.844444,-0.70555556,5.0038,994.83333,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-26,10,0,,,226,0,,,105904632156,19444,0.694,-69,-26,-24,-63,-51,22,14296,49,20,,49030,,,11934099999,19.405595,0.89444444,-6.7444444,6.9555556,4.1402,1182.116,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-27,69,0,,,295,0,,7131,105904632156,19444,0.694,-68,-21,-1,-62,-50,23,14296,49,20,,49030,,,11934099999,19.405595,4.0277778,-2.3,10.855556,0.0508,1440.18,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-28,0,0,,,295,0,,,105904632156,19444,0.694,-72,-20,-1,-54,-34,10,14296,49,20,,49030,,,11934099999,19.405595,2.5222222,-1.9222222,8.2833333,0.2286,1870.2867,3,2,2,3,1,1,1,4,0,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-29,41,0,,,336,0,,,105904632156,19444,0.694,-82,-89,-9,-61,-38,10,14296,49,20,,49030,,,11934099999,19.405595,2.3055556,-3.0611111,8.0888889,0.6604,1853.3533,3,2,2,3,1,1,1,4,2,2,2222800000,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-30,0,0,,,336,0,,,105904632156,19444,0.694,-61,-22,-38,-62,-48,20,14296,49,20,,49030,,,11934099999,19.405595,-5.3277778,-9.9111111,-0.37777778,0.7112,1400.175,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-03-31,27,0,,,363,0,,,105904632156,19444,0.694,-62,-25,-22,-60,-48,19,14296,49,20,,49030,,,11934099999,19.405595,-5.9722222,-11.155556,-0.53333333,0.5842,1435.1,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-01,37,0,,,400,0,,11742,105904632156,19444,0.694,-62,-24,-11,-60,-48,20,14296,49,20,,49030,,,11934099999,19.405595,-3.7055556,-10.072222,2.4388889,0.254,1407.795,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-02,26,0,,1889,426,0,,13631,105904632156,19444,0.694,-60,-21,-10,-59,-48,20,14296,49,20,,49030,,,11934099999,19.405595,-0.71666667,-7.4055556,5.2055556,0,1839.8067,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-03,24,0,,1524,450,0,,15155,105904632156,19444,0.694,-62,-18,-12,-60,-47,22,14296,49,20,,49030,,,11934099999,19.405595,1.3611111,-4.7222222,7.2055556,0,1790.7,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-04,21,0,,,471,0,,,105904632156,19444,0.694,-68,-19,-7,-52,-32,10,14296,49,20,,49030,,,11934099999,19.405595,1.5111111,-4.2944444,7.2166667,0,1753.4467,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-05,14,0,,,485,0,,,105904632156,19444,0.694,-77,-88,26,-55,-36,8,14296,49,20,,49030,,,11934099999,19.405595,3.4333333,-4.1777778,10.344444,0,1693.3333,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-06,49,2,,,534,2,,,105904632156,19444,0.694,-51,-6,6,-54,-46,16,14296,49,20,,49030,,,11934099999,19.405595,4.9777778,-2.2,11.605556,0,1639.9933,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-07,47,0,,,581,2,,21371,105904632156,19444,0.694,-61,10,34,-46,-46,13,14296,49,20,,49030,,,11934099999,19.405595,6.0277778,-1.9222222,13.661111,0,1556.1733,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-08,101,0,,2301,682,2,,23672,105904632156,19444,0.694,-71,-1,4,-59,-51,20,14296,49,20,,49030,,,11934099999,19.405595,7.3555556,-0.43888889,15.266667,0,1493.52,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-09,19,0,,2174,701,2,,25846,105904632156,19444,0.694,-70,-5,8,-61,-56,21,14296,49,20,,49030,,,11934099999,19.405595,8.0333333,0.05,15.311111,0,1443.5667,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,61647909,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-10,14,0,,1580,715,2,,27426,105904632156,19444,0.694,-92,-92,17,-80,-86,37,14296,49,20,,49030,,,11934099999,19.405595,6.0166667,-0.64444444,11.027778,0.0508,1396.1533,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-11,13,0,,1324,728,2,,28750,105904632156,19444,0.694,-79,-12,-4,-56,-39,12,14296,49,20,,49030,,,11934099999,19.405595,4.4555556,-2.6166667,10.844444,0,1350.4333,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-12,14,0,,1302,742,2,,30052,105904632156,19444,0.694,-86,-89,32,-61,-43,10,14296,49,20,,49030,,,11934099999,19.405595,6.8222222,-1.3833333,13.566667,0,1300.48,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-13,27,0,,1439,769,2,,31491,105904632156,19444,0.694,-92,-92,17,-80,-87,32,14296,49,20,,49030,,,11934099999,19.405595,7.0388889,-0.65555556,14.116667,0.3302,1270,3,2,2,4,1,2,2,4,2,2,0,0,2,1,2,0,0,87.04,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
SK,Q214,country/SVK,SK,Slovakia,,,,,SK,SVK,0,2020-04-14,66,0,,2967,835,2,,34458,105904632156,19444,0.694,-67,-12,-22,-56,-48,17,14296,49,20,,49030,,,11934099999,19.405595,-2.5388889,-5.6722222,2.5,5.9944,670.13667,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,75,77.165854,30.1,6.5,4.6,144.821,64.214,33.5,17.2,5.8,6.0671,3.4156,1186.1364,221.96388,5446771,2650490,2796281,2520439,2926332,429920,,113.28559,0.855,561296,544854,667898,850005,853683,703923,689330,391374,146423,36606,,,,,,,,,
