key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-18,1,0,,,1,0,,,26057000000,4058,0.501,-31,-3,-25,-30,-20,12,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,28.265432,21.833333,32.641975,0,,3,2,1,2,1,0,2,4,0,0,0,0,2,2,0,0,0,65.74,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-19,0,0,,,1,0,,,26057000000,4058,0.501,-38,4,-35,-40,-32,17,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,27.993056,20.6875,32.333333,0,,3,2,1,2,1,0,2,4,0,1,0,0,2,2,0,0,0,65.74,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-20,2,0,,,3,0,,,26057000000,4058,0.501,-50,-14,-44,-48,-38,22,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,28.933333,21.805556,33.261111,0,,3,2,1,2,1,0,2,4,0,1,,0,2,2,0,0,0,65.74,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-21,0,0,,,3,0,,,26057000000,4058,0.501,-58,-20,-50,-53,-35,20,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,25.144444,17,31.022222,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-22,0,0,,,3,0,,,26057000000,4058,0.501,-83,-59,-74,-74,-53,23,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,27.277778,21.34127,30.888889,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-23,2,0,,,5,0,,,26057000000,4058,0.501,-76,-49,-66,-69,-66,34,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,28.805556,22.8,33.5,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,1E+08,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-24,4,0,,,9,0,,,26057000000,4058,0.501,-78,-54,-69,-70,-68,34,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,29.066667,22.1,33.8,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-25,4,0,,,13,0,,,26057000000,4058,0.501,-77,-52,-67,-70,-68,34,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,29.666667,21.711111,33.438889,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-26,0,0,,,13,0,,,26057000000,4058,0.501,-77,-51,-68,-70,-68,34,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,29.483333,21.577778,33.8,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
SV,Q792,country/SLV,SV,El Salvador,,,,,SV,SLV,0,2020-03-27,0,0,,,13,0,,,26057000000,4058,0.501,-75,-47,-67,-69,-65,34,1520612,13.668889,-88.866111,,21040,16350,3598,78663099999,27.642104,29.816667,23.672222,33.922222,0,,3,3,2,2,1,3,2,4,0,1,0,0,2,2,0,0,0,88.89,73.096,9.9,8.8,11.8,268.447,103.299,41.9,14,,1.8344,1.5662,282.49103,82.477356,6420744,3010430,3410314,1796332,4624412,1106698,1106698,309.88147,0.674,1196383,1217788,1267717,916287,752075,593049,424033,262396,112030,28008,,,,,,,,,
