key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-04-30,15,0,,,15,0,,,7522947810,827,0.533,-31,-23,-21,-38,-18,7,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,14.488889,7.7388889,20.955556,2.032,,2,2,2,0,0,0,0,4,0,0,0,0,2,1,1,0,0,46.3,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-01,0,0,,,15,0,,,7522947810,827,0.533,-38,-26,-30,-40,-29,11,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,12.722222,9.1166667,18.594444,14.534444,,2,2,2,0,0,0,0,4,0,0,0,0,2,1,1,0,0,46.3,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-02,17,0,,,32,0,,,7522947810,827,0.533,-44,-36,-33,-47,-32,14,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,13.672222,8.0611111,19.966667,1.2417778,,2,2,2,0,0,0,0,4,0,0,0,0,2,1,1,0,0,46.3,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-03,44,2,,,76,2,,,7522947810,827,0.533,-46,-43,-32,-50,-27,12,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,12.327778,7.4222222,18.594444,2.1731111,,2,2,2,0,0,0,0,4,0,0,0,0,2,1,1,0,0,46.3,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-04,154,1,,,230,3,,,7522947810,827,0.533,-47,-38,-31,-51,-37,16,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,14.283333,6.3111111,21.644444,0,,2,2,2,0,0,0,0,4,0,0,0,0,2,1,1,292800,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-05,63,2,,,293,5,,,7522947810,827,0.533,-48,-38,-32,-52,-40,16,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,11.561111,7.55,16.394444,2.921,,2,2,2,0,0,0,0,4,0,1,0,0,2,1,1,0,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-06,86,3,,,379,8,,,7522947810,827,0.533,-47,-35,-31,-48,-39,17,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,12.572222,7.5333333,18.761111,0.9144,,2,2,2,0,0,0,0,4,0,1,0,0,2,1,1,0,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-07,82,4,,,461,12,,,7522947810,827,0.533,-45,-37,-32,-48,-40,16,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,14.955556,6.4722222,22.3,0,,2,2,2,0,0,0,0,4,0,1,0,0,2,1,1,0,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-08,61,0,,,522,12,,,7522947810,827,0.533,-45,-36,-33,-48,-39,17,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,14.516667,9.5055556,20.261111,0.53622222,,2,2,2,0,0,0,0,4,0,1,0,0,2,1,1,0,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
TJ,Q863,country/TJK,TJ,Tajikistan,,,,,TJ,TJK,0,2020-05-09,90,8,,,612,20,,,7522947810,827,0.533,-49,-40,-34,-51,-40,17,214626,38.583333,71.366667,,141380,,,38856099999,44.032331,12.505556,7.7222222,18.672222,8.4582,88.9,2,2,2,0,0,0,0,4,0,1,0,0,2,1,1,0,0,48.15,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,9100837,4588293,4512544,6631416,2469421,872653,,65.572714,0.65,2332227,1803485,1645892,1387843,892414,687853,405292,126227,55448,13862,,,,,,,,,
