key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-03-27,,,,,2,0,,,,,,-17,3,,,-22,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,23.177778,18.138889,29.588889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-03-28,0,0,,,2,0,,,,,,-16,14,,,-14,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,23.1,18.505556,28.838889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-03-29,0,0,,,2,0,,,,,,-28,1,,,-21,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,21.138889,15.972222,26.477778,6.7168889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-03-30,0,0,,,2,0,,,,,,-18,2,,,-23,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,15.827778,10.988889,22.122222,7.6962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-03-31,0,0,,,2,0,,,,,,-29,-12,,,-29,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,11.7,8.3833333,17.194444,9.3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-04-01,0,0,,,2,0,,,,,,-10,9,,,-29,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,9.5222222,3.3333333,17.383333,11.8618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-04-02,0,0,,,2,0,,,,,,-13,2,,,-26,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,11.077778,2.6444444,20.761111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-04-03,1,0,,,3,0,,,,,,-13,20,,,-28,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,13.927778,4.9222222,24.683333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-04-04,0,0,,,3,0,,,,,,-19,26,,,-20,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,17.716667,9.4888889,25.016667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_AL_01133,Q503088,geoId/01133,US,United States of America,AL,Alabama,01133,Winston County,US,USA,2,2020-04-05,0,0,,,3,0,,,,,,-42,-12,,,-27,,,34.149167,-87.374722,204,1637,,,72041300138,24.519606,19.1,11.572222,26.827778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23877,,,,,,,,,,,,,,,,,,,,,,,,,,,
