key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-09,,,,,1,0,,,,,,1,15,-11,0,0,1,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,8.1333333,0.76111111,19.027778,4.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-10,0,0,,,1,0,,,,,,3,18,,0,1,0,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,0.56666667,-3.6722222,6.35,3.5136667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-11,0,0,,,1,0,,,,,,9,21,,0,1,-1,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,7.0055556,1.2222222,17.394444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-12,0,0,,,1,0,,,,,,4,30,,6,-1,0,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,12.233333,7.8944444,15.761111,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-13,0,0,,,1,0,,,,,,2,60,24,1,0,1,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,3.1333333,-3.7777778,9.3444444,0.0762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-14,0,0,,,1,0,,,,,,-18,29,-19,-8,-4,5,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,1.7,-0.63333333,6.8333333,7.6708,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-15,0,0,,,1,0,,,,,,-7,32,-16,6,-7,3,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,0.56111111,-0.68333333,1.9111111,0.6858,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-16,0,0,,,1,0,,,,,,-1,49,,0,-6,4,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,2.3388889,0.39444444,5.9611111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-17,0,0,,,1,0,,,,,,-22,25,,-1,-24,10,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,4.15,-2.0222222,9.5777778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-18,0,0,,,1,0,,,,,,-28,17,,-1,-28,12,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,7.8611111,5.0055556,13.038889,10.9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-19,0,0,,,1,0,,,,,,-36,9,-6,-6,-30,14,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,11.511111,7.85,15.077778,0.9652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-20,0,0,,,1,0,,,,,,-36,23,2,-8,-31,16,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,-1.1722222,-7.0222222,8.3666667,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-21,1,0,,,2,0,,,,,,-43,15,64,-7,-20,10,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,-1.6666667,-6.3333333,7.3166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-22,0,0,,,2,0,,,,,,-41,4,-6,-6,-27,8,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,3.4777778,0.52222222,6.2111111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-23,0,0,,,2,0,,,,,,-35,-1,,-4,-32,13,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,5.3055556,3.0611111,9.2111111,0.042333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-24,0,0,,,2,0,,,,,,-36,-6,,-6,-35,15,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,8.2666667,5.6777778,13.327778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IA_19155,Q487677,geoId/19155,US,United States of America,IA,Iowa,19155,Pottawattamie County,US,USA,2,2020-03-25,2,0,,,4,0,,,,,,-32,0,,-3,-36,14,,41.333333,-95.533333,359,2486,,,72549704908,20.667917,10.116667,6.9388889,16.827778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93671,,,,,,,,,,,,,,,,,,,,,,,,,,,
