key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-03-31,,,,,1,0,,,,,,-43,-8,,,-37,17,,42.04,-89.32,,1977,,,72543094822,25.306272,4.2888889,1.3888889,11.044444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-01,0,0,,,1,0,,,,,,-41,7,,,-39,16,,42.04,-89.32,,1977,,,72543094822,25.306272,5.5666667,0.69444444,13.127778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-02,0,0,,,1,0,,,,,,-43,12,,,-39,17,,42.04,-89.32,,1977,,,72543094822,25.306272,8.2722222,1.1388889,16.777778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-03,0,0,,,1,0,,,,,,-46,8,,,-39,17,,42.04,-89.32,,1977,,,72543094822,25.306272,13.022222,7.4,19.505556,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-04,3,0,,,4,0,,,,,,-51,19,,,-25,,,42.04,-89.32,,1977,,,72543094822,25.306272,5.3944444,0.05,15.094444,0.55033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-05,1,0,,,5,0,,,,,,-43,4,,,-25,,,42.04,-89.32,,1977,,,72543094822,25.306272,6.6555556,1.3111111,13.455556,0.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-06,2,0,,,7,0,,,,,,-46,,,,-39,16,,42.04,-89.32,,1977,,,72543094822,25.306272,7.5222222,0.43888889,15.666667,0.042333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-07,3,0,,,10,0,,,,,,-40,,,,-40,16,,42.04,-89.32,,1977,,,72543094822,25.306272,16.172222,9.8833333,25.394444,0.87085714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-08,2,0,,,12,0,,,,,,-48,,,,-41,17,,42.04,-89.32,,1977,,,72543094822,25.306272,14.044444,7.0722222,22.172222,1.04775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IL_17141,Q488560,geoId/17141,US,United States of America,IL,Illinois,17141,Ogle County,US,USA,2,2020-04-09,2,1,,,14,1,,,,,,-46,,,,-41,19,,42.04,-89.32,,1977,,,72543094822,25.306272,5.9111111,1.6666667,10.072222,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51659,,,,,,,,,,,,,,,,,,,,,,,,,,,
