key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-25,,,,,1,0,,,,,,-43,-15,,,-44,,,39.62,-85.47,,1058,,,72435653866,28.919667,7.4,0.81111111,16.283333,1.8203333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-26,0,0,,,1,0,,,,,,-46,-15,,,-43,,,39.62,-85.47,,1058,,,72435653866,28.919667,12.127778,3.0444444,19.211111,0.0762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-27,2,0,,,3,0,,,,,,-51,-22,,,-43,,,39.62,-85.47,,1058,,,72435653866,28.919667,13.277778,7.3944444,18.994444,2.57175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-28,-1,0,,,2,0,,,,,,-47,-11,,,-31,,,39.62,-85.47,,1058,,,72435653866,28.919667,17.6,11.477778,23.3,6.9426667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-29,0,0,,,2,0,,,,,,-44,-11,,,-35,,,39.62,-85.47,,1058,,,72435653866,28.919667,16.838889,12.355556,22.572222,14.365111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-30,2,0,,,4,0,,,,,,-37,-8,,,-43,,,39.62,-85.47,,1058,,,72435653866,28.919667,11.111111,6.3722222,17.944444,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-03-31,0,0,,,4,0,,,,,,-41,-6,,,-48,,,39.62,-85.47,,1058,,,72435653866,28.919667,5.6722222,3.0666667,12.544444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-04-01,1,0,,,5,0,,,,,,-46,-8,,,-46,,,39.62,-85.47,,1058,,,72435653866,28.919667,6.8111111,3.6388889,11.4,0.22225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-04-02,2,0,,,7,0,,,,,,-41,-2,,,-46,,,39.62,-85.47,,1058,,,72435653866,28.919667,8.4722222,0.59444444,15.777778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_IN_18139,Q506512,geoId/18139,US,United States of America,IN,Indiana,18139,Rush County,US,USA,2,2020-04-03,1,1,,,8,1,,,,,,-39,10,,,-50,,,39.62,-85.47,,1058,,,72435653866,28.919667,11.811111,1.8222222,19.594444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16672,,,,,,,,,,,,,,,,,,,,,,,,,,,
