key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-19,,,,,1,0,,,,,,-29,12,30,-18,-28,12,,43.02,-83.71,,1682,,,72637014826,6.694818,4.4166667,-0.99444444,9.1333333,1.8203333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-20,0,0,,,1,0,,,,,,-38,-2,-5,-32,-33,16,,43.02,-83.71,,1682,,,72637014826,6.694818,8.6611111,-1.0333333,16.505556,6.0113333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-21,6,0,,,7,0,,,,,,-41,-2,42,-17,-26,11,,43.02,-83.71,,1682,,,72637014826,6.694818,-2.2722222,-4.9555556,0.91111111,0.8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-22,7,0,,,14,0,,,,,,-42,-11,37,-26,-33,8,,43.02,-83.71,,1682,,,72637014826,6.694818,-2.45,-8.2611111,4.4277778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-23,9,0,,,23,0,,,,,,-31,12,-14,-37,-41,15,,43.02,-83.71,,1682,,,72637014826,6.694818,1,-4.3222222,4.3611111,2.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-24,11,0,,,34,0,,,,,,-56,-29,23,-44,-56,23,,43.02,-83.71,,1682,,,72637014826,6.694818,2.5388889,-1.5111111,7.1555556,0.1778,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-25,12,0,,,46,0,,,,,,-48,-22,86,-32,-56,21,,43.02,-83.71,,1682,,,72637014826,6.694818,5.1777778,-0.43888889,13.466667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-26,17,1,,,63,1,,,,,,-52,-26,16,-43,-57,23,,43.02,-83.71,,1682,,,72637014826,6.694818,9.2944444,2.7888889,12.916667,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-27,28,3,,,91,4,,,,,,-54,-28,55,-48,-57,25,,43.02,-83.71,,1682,,,72637014826,6.694818,4.9,1.3388889,11.3,1.1006667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MI_26049,Q497695,geoId/26049,US,United States of America,MI,Michigan,26049,Genesee County,US,USA,2,2020-03-28,19,1,,,110,5,,,,,,-61,-28,-22,-47,-46,17,,43.02,-83.71,,1682,,,72637014826,6.694818,6.45,2.8166667,10.111111,17.356667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410849,,,,,,,,,,,,,,,,,,,,,,,,,,,
