key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-26,,,,,1,0,,,,,,-45,-9,,,-34,,,48.54,-115.41,,9518,,,72092300310,68.265912,-0.15555556,-5.0666667,5.1944444,1.6086667,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-27,2,1,,,3,1,,,,,,-52,1,,,-34,,,48.54,-115.41,,9518,,,72092300310,68.265912,2.1944444,-2.9166667,5.75,0.028222222,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-28,0,0,,,3,1,,,,,,-66,-27,,,-36,,,48.54,-115.41,,9518,,,72092300310,68.265912,4.2444444,1.0944444,7.8666667,0.33866667,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-29,1,0,,,4,1,,,,,,-79,-29,,,-38,,,48.54,-115.41,,9518,,,72092300310,68.265912,5.4944444,3.0555556,9.0333333,0.8255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-30,0,0,,,4,1,,,,,,-57,-22,,,-36,,,48.54,-115.41,,9518,,,72092300310,68.265912,3.0666667,0.072222222,8.75,3.84175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-03-31,1,0,,,5,1,,,,,,-61,-15,,,-39,,,48.54,-115.41,,9518,,,72092300310,68.265912,-0.12222222,-3.4555556,6.0777778,8.03275,35.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-01,1,0,,,6,1,,,,,,-59,-3,,,-40,,,48.54,-115.41,,9518,,,72092300310,68.265912,-4.1833333,-6.5666667,1.2111111,4.28625,74.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-02,0,0,,,6,1,,,,,,-57,-11,,,-39,,,48.54,-115.41,,9518,,,72092300310,68.265912,-5.0888889,-8.3944444,0.28333333,0.41275,49.953333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-03,0,0,,,6,1,,,,,,-57,-6,,,-38,,,48.54,-115.41,,9518,,,72092300310,68.265912,-3.0555556,-7.8666667,2.2333333,1.30175,53.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-04,0,0,,,6,1,,,,,,-56,-4,,,-32,,,48.54,-115.41,,9518,,,72092300310,68.265912,-2.7055556,-8.3,2.5166667,2.88925,77.046667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-05,1,0,,,7,1,,,,,,-81,-18,,,-43,,,48.54,-115.41,,9518,,,72092300310,68.265912,-0.83333333,-5.9333333,4.1,0.98425,54.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-06,0,0,,,7,1,,,,,,,,,,-33,,,48.54,-115.41,,9518,,,72092300310,68.265912,2.9166667,-1.4333333,9.6111111,0.87488889,59.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-07,0,0,,,7,1,,,,,,,,,,-36,,,48.54,-115.41,,9518,,,72092300310,68.265912,6.5222222,1.7166667,12.194444,0.1016,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-08,0,0,,,7,1,,,,,,,,,,-38,,,48.54,-115.41,,9518,,,72092300310,68.265912,4.8388889,-2.6166667,13.333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-09,0,0,,,7,1,,,,,,,,,,-38,,,48.54,-115.41,,9518,,,72092300310,68.265912,6.0722222,-2.4611111,16.277778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MT_30053,Q490344,geoId/30053,US,United States of America,MT,Montana,30053,Lincoln County,US,USA,2,2020-04-10,0,0,,,7,1,,,,,,,,,,-42,,,48.54,-115.41,,9518,,,72092300310,68.265912,8.6611111,-0.6,17.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19052,,,,,,,,,,,,,,,,,,,,,,,,,,,
