key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-16,,,,,1,0,,,,,,-12,25,,2,-31,14,,40.57,-74.92,,1134,,,72224754785,22.033296,4.35,-0.57222222,11.144444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-17,3,0,,,4,0,,,,,,-32,-4,,-1,-43,20,,40.57,-74.92,,1134,,,72224754785,22.033296,6.8444444,1.0888889,12.472222,1.2982222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-18,2,0,,,6,0,,,,,,-37,-7,,-8,-44,20,,40.57,-74.92,,1134,,,72224754785,22.033296,7.95,0.58333333,13.883333,0.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-19,2,0,,,8,0,,,,,,-43,-6,,-4,-47,24,,40.57,-74.92,,1134,,,72224754785,22.033296,7.5666667,1.9388889,13.016667,14.675556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-20,3,0,,,11,0,,,,,,-39,1,,-12,-49,23,,40.57,-74.92,,1134,,,72224754785,22.033296,13.672222,6.3388889,25.294444,6.6886667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-21,3,0,,,14,0,,,,,,-41,3,,-13,-29,14,,40.57,-74.92,,1134,,,72224754785,22.033296,11.583333,4.4333333,23.65,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-22,2,0,,,16,0,,,,,,-62,-31,,-27,-38,,,40.57,-74.92,,1134,,,72224754785,22.033296,4.1,0.05,9.5166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-23,2,0,,,18,0,,,,,,-59,-37,,-16,-60,27,,40.57,-74.92,,1134,,,72224754785,22.033296,3.6222222,0.62222222,7.2777778,0.47977778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-24,7,0,,,25,0,,,,,,-50,-29,,-3,-60,26,,40.57,-74.92,,1134,,,72224754785,22.033296,6.9166667,1.7944444,13.577778,10.8966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_NJ_34019,Q502451,geoId/34019,US,United States of America,NJ,New Jersey,34019,Hunterdon County,US,USA,2,2020-03-25,0,0,,,25,0,,,,,,-57,-34,,-19,-61,29,,40.57,-74.92,,1134,,,72224754785,22.033296,6.2277778,3.0777778,12.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125488,,,,,,,,,,,,,,,,,,,,,,,,,,,
