key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-05,,,,,2,0,,15,,,,6,10,13,1,1,-1,165473,39,-117,1676,286380,,,72012999999,54.75258,6.9259259,-5.0802469,19.87037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-06,0,0,,0,2,0,,15,,,,3,7,14,-2,2,0,165473,39,-117,1676,286380,,,72012999999,54.75258,9.0308642,-3.2592593,19.759259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-07,0,0,,0,2,0,,15,,,,2,5,0,0,0,0,165473,39,-117,1676,286380,,,72012999999,54.75258,9.4753086,0.67901235,17.91358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-08,2,0,,0,4,0,,15,,,,4,7,22,0,0,0,165473,39,-117,1676,286380,,,72012999999,54.75258,3.3271605,-4.6049383,13.314815,0.90311111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-09,0,0,,0,4,0,,15,,,,4,8,15,0,-7,1,165473,39,-117,1676,286380,,,72012999999,54.75258,5.382716,-2.8024691,12.271605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-10,0,0,,0,4,0,,15,,,,2,7,-5,-6,-1,1,165473,39,-117,1676,286380,,,72012999999,54.75258,5.0246914,-4.0925926,14.450617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-11,3,0,,158,7,0,,173,,,,5,11,11,-1,0,1,165473,39,-117,1676,286380,,,72012999999,54.75258,7.382716,-3.7469136,15.654321,0.66675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-12,4,0,,2,11,0,,175,,,,2,13,-3,-8,-1,1,165473,39,-117,1676,286380,,,72012999999,54.75258,6.7962963,-4.1358025,17.166667,0.084666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-13,8,0,,4,19,0,,179,,,,1,24,-8,-11,-4,3,165473,39,-117,1676,286380,,,72012999999,54.75258,7.2530864,-4.2962963,17.364198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-14,2,0,,9,21,0,,188,,,,-6,22,-19,-9,-5,3,165473,39,-117,1676,286380,,,72012999999,54.75258,9.3024691,3.7283951,14.87037,0.19755556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-15,5,0,,165,26,0,,353,,,,-6,21,-2,-17,-7,3,165473,39,-117,1676,286380,,,72012999999,54.75258,6.308642,0.092592593,13.87037,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
US_NV,Q1227,geoId/32,US,United States of America,NV,Nevada,,,US,USA,1,2020-03-16,19,1,,-140,45,1,,213,,,,-5,28,-14,-19,-20,7,165473,39,-117,1676,286380,,,72012999999,54.75258,5.4567901,-2.2469136,13.154321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890845,1852881,1827482,,,,,,,473410,458579,511699,540841,452043,440516,444654,258543,80062,20016,,,,,,,,,
