key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-03-27,,,,,1,0,,,,,,-39,-23,,-28,-45,23,,40.33,-84.2,,1065,,,72071300251,31.47071,10.511111,7.15,16.55,12.728222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-03-28,2,0,,,3,0,,,,,,-35,-22,,-20,-38,,,40.33,-84.2,,1065,,,72071300251,31.47071,14.055556,9.1333333,20.244444,12.079111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-03-29,0,0,,,3,0,,,,,,-27,-29,,-22,-31,,,40.33,-84.2,,1065,,,72071300251,31.47071,16.344444,11.35,20.344444,14.365111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-03-30,1,0,,,4,0,,,,,,-28,-17,,-33,-43,18,,40.33,-84.2,,1065,,,72071300251,31.47071,8.9888889,5.8833333,16.183333,0.7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-03-31,1,0,,,5,0,,,,,,-28,-15,,-28,-46,21,,40.33,-84.2,,1065,,,72071300251,31.47071,4.7944444,1.75,9.0722222,0.11288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-01,1,0,,,6,0,,,,,,-29,-13,,-32,-45,20,,40.33,-84.2,,1065,,,72071300251,31.47071,5.9222222,2.8722222,10.033333,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-02,0,0,,,6,0,,,,,,-22,-6,,-24,-46,20,,40.33,-84.2,,1065,,,72071300251,31.47071,7.8388889,1.1055556,14.522222,7.8486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-03,1,0,,,7,0,,,,,,-29,-8,,-33,-47,20,,40.33,-84.2,,1065,,,72071300251,31.47071,10.138889,1.4277778,18.605556,0.0762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-04,3,0,,,10,0,,,,,,-30,-6,,-27,-38,,,40.33,-84.2,,1065,,,72071300251,31.47071,12.272222,2.9555556,20.516667,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-05,2,0,,,12,0,,,,,,-32,-27,,-25,-39,,,40.33,-84.2,,1065,,,72071300251,31.47071,9.1444444,6.0888889,17.216667,0.95955556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-06,5,0,,,17,0,,,,,,-23,,,-33,-45,18,,40.33,-84.2,,1065,,,72071300251,31.47071,8.2666667,0.32777778,18.294444,0.3556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-07,1,0,,,18,0,,,,,,-26,,,-23,-47,20,,40.33,-84.2,,1065,,,72071300251,31.47071,16.011111,9.2055556,24.055556,3.0762222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-08,1,0,,,19,0,,,,,,-22,,,-31,-45,19,,40.33,-84.2,,1065,,,72071300251,31.47071,18.183333,10.816667,23.444444,18.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-09,2,0,,,21,0,,,,,,-27,,,-31,-48,21,,40.33,-84.2,,1065,,,72071300251,31.47071,10.555556,4.7222222,20.938889,9.9624444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-10,3,0,,,24,0,,,,,,-34,-15,,-36,-60,,,40.33,-84.2,,1065,,,72071300251,31.47071,3.4833333,0.68888889,10.388889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-11,1,0,,,25,0,,,,,,-26,,,-29,-41,,,40.33,-84.2,,1065,,,72071300251,31.47071,5.9111111,-0.76111111,14.677778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-12,2,0,,,27,0,,,,,,-53,-40,,-43,-40,,,40.33,-84.2,,1065,,,72071300251,31.47071,11.972222,4.3,18.416667,0.47977778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-13,0,0,,,27,0,,,,,,-28,-15,,-32,-43,20,,40.33,-84.2,,1065,,,72071300251,31.47071,9.6611111,3.9666667,16.622222,9.3697778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-14,0,0,,,27,0,,,,,,-20,-12,,-33,-44,20,,40.33,-84.2,,1065,,,72071300251,31.47071,3.5777778,-0.88333333,10.038889,1.9558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-15,0,0,,,27,0,,,,,,-17,-5,,-26,-42,19,,40.33,-84.2,,1065,,,72071300251,31.47071,2.1277778,-2.6,8.5333333,0.11288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-16,1,0,,,28,0,,,,,,-14,-1,,-26,-43,20,,40.33,-84.2,,1065,,,72071300251,31.47071,1.9277778,-3.6,8.6833333,0.4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-17,0,0,,,28,0,,,,,,-32,-19,,-33,-46,24,,40.33,-84.2,,1065,,,72071300251,31.47071,4.2166667,-1.1722222,8.1777778,0.98777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-18,0,0,,,28,0,,,,,,-17,7,,-23,-34,,,40.33,-84.2,,1065,,,72071300251,31.47071,4.8444444,0.32222222,11.588889,3.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-19,1,0,,,29,0,,,,,,-15,-13,,-24,-33,,,40.33,-84.2,,1065,,,72071300251,31.47071,8.55,1.3111111,15.266667,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-20,-1,0,,,28,0,,,,,,-11,-8,,-26,-41,15,,40.33,-84.2,,1065,,,72071300251,31.47071,8.6944444,0.99444444,16.155556,3.3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-21,0,0,,,28,0,,,,,,-16,-9,,-35,-44,18,,40.33,-84.2,,1065,,,72071300251,31.47071,9.2833333,2.7277778,15.366667,1.4957778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-22,2,0,,,30,0,,,,,,-16,-5,,-29,-43,16,,40.33,-84.2,,1065,,,72071300251,31.47071,5.3388889,-2.2722222,15.916667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-23,0,0,,,30,0,,,,,,-18,-8,,-32,-43,19,,40.33,-84.2,,1065,,,72071300251,31.47071,11.361111,7.6777778,15.433333,0.59266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-24,0,0,,,30,0,,,,,,-26,-10,,-29,-46,19,,40.33,-84.2,,1065,,,72071300251,31.47071,10.85,6.4666667,17.566667,3.1326667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-25,0,1,,,30,1,,,,,,-13,7,,-14,-33,,,40.33,-84.2,,1065,,,72071300251,31.47071,13.427778,8.1833333,19.294444,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-26,0,0,,,30,1,,,,,,-21,-8,,-21,-36,,,40.33,-84.2,,1065,,,72071300251,31.47071,8.6722222,5.6944444,17.055556,9.2851111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-27,0,0,,,30,1,,,,,,-4,-5,,-27,-39,15,,40.33,-84.2,,1065,,,72071300251,31.47071,8.9722222,0.67222222,17.394444,2.8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-28,0,0,,,30,1,,,,,,-3,3,,-25,-41,11,,40.33,-84.2,,1065,,,72071300251,31.47071,15.538889,10.65,22.672222,0.93133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-29,0,0,,,30,1,,,,,,-14,2,,-28,-40,18,,40.33,-84.2,,1065,,,72071300251,31.47071,16.816667,11.938889,21.933333,1.2982222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-04-30,0,0,,,30,1,,,,,,-9,2,,-21,-42,19,,40.33,-84.2,,1065,,,72071300251,31.47071,9.2,6.2055556,17.027778,2.8786667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OH_39149,Q489546,geoId/39149,US,United States of America,OH,Ohio,39149,Shelby County,US,USA,2,2020-05-01,0,0,,,30,1,,,,,,-1,3,,-21,-44,16,,40.33,-84.2,,1065,,,72071300251,31.47071,10.161111,6.5277778,18.116667,0.73377778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48901,,,,,,,,,,,,,,,,,,,,,,,,,,,
