key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-26,,,,,1,0,,,,,,-21,1,,,-35,,,36.84,-94.81,,1255,,,72025599999,10.347537,20.988889,15.505556,29.266667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-27,0,0,,,1,0,,,,,,-27,-17,,-31,-36,,,36.84,-94.81,,1255,,,72025599999,10.347537,22.455556,19.122222,26.944444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-28,3,0,,,4,0,,,,,,-25,1,,,-34,,,36.84,-94.81,,1255,,,72025599999,10.347537,20.627778,17.333333,22.266667,1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-29,0,0,,,4,0,,,,,,-21,-3,,,-35,,,36.84,-94.81,,1255,,,72025599999,10.347537,13.461111,6.4166667,20.555556,6.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-30,2,0,,,6,0,,,,,,-23,-12,,,-34,13,,36.84,-94.81,,1255,,,72025599999,10.347537,12.694444,6.9555556,19.144444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-03-31,1,0,,,7,0,,,,,,-18,-8,,,-36,13,,36.84,-94.81,,1255,,,72025599999,10.347537,12.038889,8.8777778,18.316667,12.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-04-01,0,0,,,7,0,,,,,,1,18,,,-35,9,,36.84,-94.81,,1255,,,72025599999,10.347537,13.4,6.5277778,20.916667,2.6162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-04-02,1,0,,,8,0,,,,,,-20,6,,,-36,,,36.84,-94.81,,1255,,,72025599999,10.347537,17.366667,13.144444,23.227778,0.056444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-04-03,0,0,,,8,0,,,,,,-24,-5,,,-39,,,36.84,-94.81,,1255,,,72025599999,10.347537,10.105556,1.3555556,20.255556,0.93133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OK_40115,Q495564,geoId/40115,US,United States of America,OK,Oklahoma,40115,Ottawa County,US,USA,2,2020-04-04,2,0,,,10,0,,,,,,-37,-11,,,-37,,,36.84,-94.81,,1255,,,72025599999,10.347537,2.4611111,1.0555556,5.5611111,4.3905714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981,,,,,,,,,,,,,,,,,,,,,,,,,,,
