key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-02-28,,,,,1,0,,,,,,8,4,24,7,3,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,5.7611111,-3.8555556,17.316667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-02-29,0,0,,,1,0,,,,,,7,5,8,6,3,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,5.1111111,-2.2944444,16.294444,0.11288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-01,1,0,,,2,0,,,,,,17,9,23,9,3,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,0.25555556,-5.3611111,7.1666667,0.31044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-02,0,0,,,2,0,,,,,,8,7,14,2,3,0,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,2.7111111,-4.4888889,11.516667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-03,0,0,,,2,0,,,,,,10,12,40,2,1,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,7.2722222,-0.82777778,15.255556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-04,0,0,,,2,0,,50,,,,10,9,57,6,1,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,6.6055556,-0.88888889,15.222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-05,0,0,,11,2,0,,61,,,,7,8,38,4,1,-1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,6.0277778,-3.0722222,19.094444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-06,0,0,,34,2,0,,95,,,,1,2,-3,-1,1,1,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,8.9222222,-0.51111111,18.677778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-07,4,0,,29,6,0,,124,,,,5,3,16,4,3,0,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,5.3888889,0.57222222,13.944444,2.25425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
US_OR,Q824,geoId/41,US,United States of America,OR,Oregon,,,US,USA,1,2020-03-08,7,0,,43,13,0,,167,,,,10,5,24,5,1,0,165476,43.935833,-120.575,1005,255026,,,72063800224,53.036507,1.4555556,-3.1166667,7.4777778,1.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028977,2121331,2178530,,,,,,,497736,511396,579623,591544,492444,575251,553270,317967,144504,36126,,,,,,,,,
