key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-26,,,,,1,0,,,,,,-53,-15,-22,,-36,,,45.46,-123.7,,3452,,,72020200118,10.308273,5.0987654,0.30864198,10.62963,0.66675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-27,0,0,,,1,0,,,,,,-60,-26,-43,,-39,,,45.46,-123.7,,3452,,,72020200118,10.308273,6.9567901,1.2901235,10.074074,0.1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-28,0,0,,,1,0,,,,,,-69,-32,-60,,-36,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.0555556,5.1604938,11.345679,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-29,1,0,,,2,0,,,,,,-61,-27,-50,,-37,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.012346,7.7777778,13.364198,4.73075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-30,1,0,,,3,0,,,,,,-52,-21,-23,,-36,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.1234568,6.4506173,13.061728,7.46125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-03-31,0,0,,,3,0,,,,,,-46,-13,5,,-38,,,45.46,-123.7,,3452,,,72020200118,10.308273,6.8703704,3.9691358,10.697531,7.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-01,0,0,,,3,0,,,,,,-43,-5,10,,-35,,,45.46,-123.7,,3452,,,72020200118,10.308273,5.8271605,3.4197531,10.617284,3.27025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-02,0,0,,,3,0,,,,,,-46,-17,-6,,-37,,,45.46,-123.7,,3452,,,72020200118,10.308273,6.1728395,2.8395062,10.271605,4.66725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-03,0,0,,,3,0,,,,,,-49,-17,-11,,-38,,,45.46,-123.7,,3452,,,72020200118,10.308273,4.9135802,0.45061728,10.197531,1.30175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-04,0,0,,,3,0,,,,,,-60,-28,-40,,-29,,,45.46,-123.7,,3452,,,72020200118,10.308273,5.9259259,0.15432099,10.95679,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-05,0,0,,,3,0,,,,,,-57,-20,-13,,-37,,,45.46,-123.7,,3452,,,72020200118,10.308273,8.7222222,2.5493827,16.617284,1.74625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-06,0,0,,,3,0,,,,,,,,11,,-35,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.4938272,3.4197531,16.450617,0.14111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-07,0,0,,,3,0,,,,,,,,20,,-38,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.2283951,2.7469136,15.561728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-08,0,0,,,3,0,,,,,,,,,,-35,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.8888889,1.7530864,20.728395,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-09,1,0,,,4,0,,,,,,,,21,,-38,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.37037,2.2592593,22.197531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-10,0,0,,,4,0,,,,,,,-13,3,,-38,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.320988,4,21.277778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-11,0,0,,,4,0,,,,,,-56,-13,-10,,-29,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.67284,4.6481481,18.450617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-12,0,0,,,4,0,,,,,,,,-15,,-35,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.7592593,1.6111111,17.82716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-13,0,0,,,4,0,,,,,,,,25,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.216049,0.72222222,18.574074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-14,1,0,,,5,0,,,,,,,,9,,-36,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.451389,1.1180556,18.743056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-15,0,0,,,5,0,,,,,,,,18,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.090278,3.4305556,18.194444,0.15875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-16,0,0,,,5,0,,,,,,,,27,,-34,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.173611,4.0833333,20.659722,0.09525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-17,1,0,,,6,0,,,,,,,-14,25,,-33,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.513889,3.1180556,22.215278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-18,0,0,,,6,0,,,,,,-59,-21,-40,,-30,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.469136,5.5246914,21.549383,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-19,0,0,,,6,0,,,,,,,,-3,,-34,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.283951,6.3703704,15.376543,2.2013333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-20,0,0,,,6,0,,,,,,,,29,,-31,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.401235,3.3703704,18.62963,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-21,0,0,,,6,0,,,,,,,,-8,,-36,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.246914,4.154321,18.407407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-22,0,0,,,6,0,,,,,,,,-21,,-34,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.148148,7.308642,14.888889,0.34925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-23,0,0,,,6,0,,,,,,,,-14,,-34,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.783951,7.7592593,15.271605,6.00075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-24,0,0,,,6,0,,,,,,,-16,-16,,-33,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.728395,8.3641975,15.814815,0.3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-25,0,0,,,6,0,,,,,,-55,-19,-26,,-28,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.382716,9.3395062,17.5,1.42875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-26,0,0,,,6,0,,,,,,,,14,,-31,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.802469,3.9074074,17.851852,4.7695556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-27,0,0,,,6,0,,,,,,,,5,,-29,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.376543,4.6666667,17.907407,2.0955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-28,0,0,,,6,0,,,,,,,,49,,-33,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.808642,6.4506173,19.635802,1.1853333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-29,0,0,,,6,0,,,,,,,,5,,-30,,,45.46,-123.7,,3452,,,72020200118,10.308273,14.808642,7.4753086,20.444444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-04-30,0,0,,,6,0,,,,,,,,-2,,-34,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.290123,8.5555556,19.487654,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-01,0,0,,,6,0,,,,,,,-2,-7,,-31,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.141975,3.1975309,17.12963,0.03175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-02,0,0,,,6,0,,,,,,,-12,-46,,-28,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.228395,7.4259259,15.018519,1.80975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-03,0,0,,,6,0,,,,,,,,-17,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,9.845679,5.9506173,14.734568,10.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-04,0,0,,,6,0,,,,,,,,-10,,-29,,,45.46,-123.7,,3452,,,72020200118,10.308273,10.419753,3.3333333,18.950617,2.06375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-05,0,0,,,6,0,,,,,,,,17,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.012346,4.2654321,20.845679,1.5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-06,0,0,,,6,0,,,,,,,,,,-28,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.382716,7.6358025,20.314815,2.76225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-07,0,0,,,6,0,,,,,,,,32,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.95679,3.8209877,22.654321,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-08,0,0,,,6,0,,,,,,,17,73,,-30,,,45.46,-123.7,,3452,,,72020200118,10.308273,18.506173,8.5061728,27.049383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-09,0,0,,,6,0,,,,,,,27,56,,-21,,,45.46,-123.7,,3452,,,72020200118,10.308273,21.314815,11.604938,28.919753,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-10,0,0,,,6,0,,,,,,,,21,,-30,,,45.46,-123.7,,3452,,,72020200118,10.308273,18.574074,10.864198,27.469136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-11,0,0,,,6,0,,,,,,,,-11,,-30,,,45.46,-123.7,,3452,,,72020200118,10.308273,16.012346,11.228395,25.691358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-12,0,0,,,6,0,,,,,,,,-39,,-29,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.728395,9.7839506,18.469136,1.87325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-13,0,0,,,6,0,,,,,,,,6,,-28,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.438272,9.345679,16.518519,4.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-14,0,0,,,6,0,,,,,,-33,,-21,,-32,,,45.46,-123.7,,3452,,,72020200118,10.308273,11.771605,9.5493827,16.240741,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-15,0,0,,,6,0,,,,,,-25,-2,27,,-31,,,45.46,-123.7,,3452,,,72020200118,10.308273,12.734568,9.6851852,18.246914,7.3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-16,0,0,,,6,0,,,,,,-43,-9,-38,,-26,,,45.46,-123.7,,3452,,,72020200118,10.308273,14.191358,10.376543,18.944444,0.1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-17,0,0,,,6,0,,,,,,-24,,-9,,-21,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.524691,9.117284,18.796296,4.73075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_OR_41057,Q495359,geoId/41057,US,United States of America,OR,Oregon,41057,Tillamook County,US,USA,2,2020-05-18,0,0,,,6,0,,,,,,-14,,-6,,-25,,,45.46,-123.7,,3452,,,72020200118,10.308273,13.469136,9.4814815,18.962963,1.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25653,,,,,,,,,,,,,,,,,,,,,,,,,,,
