key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-03-28,,,,,2,0,,,,,,-12,16,,-9,-16,6,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,22.5,14.988889,28.966667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-03-29,1,0,,,3,0,,,,,,-23,2,,-27,-26,,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,23.094444,17.461111,28.244444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-03-30,0,0,,,3,0,,,,,,-9,0,,-22,-26,10,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,19.777778,13.066667,26.355556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-03-31,0,0,,,3,0,,,,,,-22,-2,,-16,-30,13,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,15.138889,11.344444,21.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-01,1,0,,,4,0,,,,,,-16,12,,-8,-31,11,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,10.472222,4.5333333,16.222222,2.3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-02,0,0,,,4,0,,,,,,-19,7,,-11,-32,13,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,10.638889,2.9555556,19.488889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-03,2,0,,,6,0,,,,,,-15,15,,-14,-35,12,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,14.333333,3.8555556,25.011111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-04,0,0,,,6,0,,,,,,-19,21,,-28,-28,9,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,17.733333,8.6666667,25.383333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-05,0,0,,,6,0,,,,,,-24,8,,-35,-31,,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,17.283333,10.227778,25.716667,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
US_SC_45059,Q508288,geoId/45059,US,United States of America,SC,South Carolina,45059,Laurens County,US,USA,2,2020-04-06,0,0,,,6,0,,,,,,-8,13,,-21,-31,11,1357020,34.48,-82.01,,1875,,,72059700190,5.9335134,19.35,11.316667,28.266667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66623,30733,32807,,,,,,,7461,8023,7671,7503,7638,8531,8790,5256,2134,533,,,,,,,,,
