key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-13,,,,,3,0,,,,,,6,28,16,8,-1,1,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.7111111,0.57222222,8.2166667,0.73025,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-14,0,0,,,3,0,,,,,,-4,35,11,8,1,4,,43.72,-87.66,,3292,,,99433099999,4.1168024,0.016666667,-1.1666667,2.3833333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-15,0,0,,,3,0,,,,,,-5,15,36,5,1,3,,43.72,-87.66,,3292,,,99433099999,4.1168024,-0.45555556,-2.7833333,2.7166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-16,0,0,,,3,0,,,,,,-6,18,0,8,-6,5,,43.72,-87.66,,3292,,,99433099999,4.1168024,0.66666667,-2.5555556,3.9166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-17,0,0,,,3,0,,,,,,-16,13,,13,-19,9,,43.72,-87.66,,3292,,,99433099999,4.1168024,2.7222222,-1.7555556,6.8222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-18,1,0,,,4,0,,,,,,-33,0,-9,-13,-25,13,,43.72,-87.66,,3292,,,99433099999,4.1168024,2.0222222,0.51666667,4.3333333,0.85725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-19,2,0,,,6,0,,,,,,-36,-2,-13,-13,-27,15,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.3833333,1.85,5.35,1.23825,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-20,0,0,,,6,0,,,,,,-37,4,3,-12,-29,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,1.8222222,-0.76111111,5.1222222,17.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-21,0,0,,,6,0,,,,,,-42,5,26,-9,-14,12,,43.72,-87.66,,3292,,,99433099999,4.1168024,-3.3166667,-6.6222222,-0.2,0.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-22,0,0,,,6,0,,,,,,-45,-17,15,-13,-21,10,,43.72,-87.66,,3292,,,99433099999,4.1168024,-1.5277778,-4.5333333,1.6222222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-23,0,0,,,6,0,,,,,,-30,-5,36,-9,-32,14,,43.72,-87.66,,3292,,,99433099999,4.1168024,1.0111111,-2.4,4.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-24,0,0,,,6,0,,,,,,-42,-16,,-14,-35,16,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.6555556,1.5222222,6.0722222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-25,1,0,,,7,0,,,,,,-47,-24,,-19,-37,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.6611111,-0.86666667,10.127778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-26,0,0,,,7,0,,,,,,-45,-21,25,-24,-38,19,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.0388889,2.0777778,8.4944444,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-27,0,0,,,7,0,,,,,,-46,-24,38,-24,-38,20,,43.72,-87.66,,3292,,,99433099999,4.1168024,2.7666667,0.15,5.9111111,0.1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-28,1,0,,,8,0,,,,,,-50,-16,-7,-18,-23,15,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.0555556,2.0055556,5.7666667,5.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-29,0,0,,,8,0,,,,,,-47,-28,4,-23,-26,11,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.6888889,4.5111111,9.0388889,6.69925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-30,0,0,,,8,0,,,,,,-38,-24,27,-4,-37,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.8888889,2.95,8.45,1.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-03-31,3,0,,,11,0,,,,,,-42,-20,31,-13,-39,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,2.2388889,1.2388889,4.6222222,0.028222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-01,3,1,,,14,1,,,,,,-39,-18,,-10,-39,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.9666667,2.0444444,7.6166667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-02,2,0,,,16,1,,,,,,-38,-13,,-6,-39,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.4,-0.67222222,9.4555556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-03,4,0,,,20,1,,,,,,-41,-14,83,-14,-39,20,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.8611111,3.2055556,11.755556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-04,1,0,,,21,1,,,,,,-46,-7,84,-18,-25,15,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.0166667,1.2388889,10.061111,0.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-05,0,0,,,21,1,,,,,,-43,-17,122,-3,-28,10,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.0388889,0.033333333,7.5833333,0.42333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-06,0,0,,,21,1,,,,,,-38,-18,55,-9,-39,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.2166667,-1.0388889,10.005556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-07,9,1,,,30,2,,,,,,-39,-17,,0,-41,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,9.7111111,5.1166667,17.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-08,1,0,,,31,2,,,,,,-43,-20,,-19,-41,19,,43.72,-87.66,,3292,,,99433099999,4.1168024,9.9,5.4333333,16.238889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-09,0,0,,,31,2,,,,,,-41,-13,31,-16,-42,20,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.4,1.7555556,10.783333,0.4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-10,2,0,,,33,2,,,,,,-40,-11,48,-20,-53,24,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.0777778,0.038888889,7.4944444,0.2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-11,1,0,,,34,2,,,,,,-42,8,85,-4,-31,14,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.2833333,-0.32222222,11.605556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-12,0,0,,,34,2,,,,,,-64,-47,-8,-26,-42,12,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.2,3.35,9.55,0.1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-13,2,0,,,36,2,,,,,,-39,-23,12,-19,-39,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,1.8611111,0.32777778,4.3,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-14,0,0,,,36,2,,,,,,-42,-22,17,-9,-39,19,,43.72,-87.66,,3292,,,99433099999,4.1168024,-0.27222222,-2.5055556,2.55,1.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-15,1,0,,,37,2,,,,,,-35,-14,30,-17,-39,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,-1.6722222,-4.9333333,1.5666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-16,0,0,,,37,2,,,,,,-32,-9,,-14,-38,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,0.58888889,-4.5388889,6.5944444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-17,1,0,,,38,2,,,,,,-36,-17,54,-16,-38,20,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.25,-0.53888889,7.4277778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-18,1,0,,,39,2,,,,,,-34,0,129,1,-26,12,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.9222222,0.055555556,15.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-19,1,0,,,40,2,,,,,,-33,-14,82,-8,-27,9,,43.72,-87.66,,3292,,,99433099999,4.1168024,9.0277778,3.7277778,14.388889,0.2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-20,3,0,,,43,2,,,,,,-31,-20,,-2,-36,16,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.85,0.12222222,16.461111,0.09525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-21,0,0,,,43,2,,,,,,-34,-16,,-5,-37,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.6777778,-0.91111111,10.233333,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-22,1,0,,,44,2,,,,,,-35,-17,47,-21,-38,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.4388889,0.38333333,6.8055556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-23,0,0,,,44,2,,,,,,-36,-14,31,-14,-38,19,,43.72,-87.66,,3292,,,99433099999,4.1168024,3.4666667,2.0166667,4.4944444,0.28575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-24,1,0,,,45,2,,,,,,-38,-17,77,-17,-39,19,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.6166667,2.9777778,8.1833333,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-25,-1,0,,,44,2,,,,,,-37,0,85,-5,-23,12,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.6777778,1.6,10.488889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-26,1,0,,,45,2,,,,,,-29,-6,,13,-25,7,,43.72,-87.66,,3292,,,99433099999,4.1168024,8.2888889,3.1777778,13.272222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-27,1,0,,,46,2,,,,,,-30,-18,25,-6,-36,16,,43.72,-87.66,,3292,,,99433099999,4.1168024,7.7555556,3.3944444,13.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-28,0,0,,,46,2,,,,,,-31,-13,,-8,-37,11,,43.72,-87.66,,3292,,,99433099999,4.1168024,6.4388889,2.8222222,10.55,2.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-29,0,0,,,46,2,,,,,,-38,-18,19,-15,-37,18,,43.72,-87.66,,3292,,,99433099999,4.1168024,7.6277778,5.7611111,9.9888889,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-04-30,1,0,,,47,2,,,,,,-28,-5,,0,-36,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,8.4055556,5.6833333,14.077778,6.1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-01,2,0,,,49,2,,,,,,-29,-8,,7,-37,16,,43.72,-87.66,,3292,,,99433099999,4.1168024,8.8055556,2.0722222,15.416667,0.7112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-02,2,0,,,51,2,,,,,,-29,14,,32,-21,8,,43.72,-87.66,,3292,,,99433099999,4.1168024,14.877778,8.3333333,23.466667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-03,1,0,,,52,2,,,,,,-20,0,,24,-25,5,,43.72,-87.66,,3292,,,99433099999,4.1168024,16.677778,8.8888889,22.338889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-04,1,0,,,53,2,,,,,,-22,-7,,1,-35,14,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.0166667,2.5222222,9.1555556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-05,2,0,,,55,2,,,,,,-25,-2,,3,-35,16,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.6666667,3.5722222,8.3888889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-06,4,0,,,59,2,,,,,,-23,-3,,-5,-35,14,,43.72,-87.66,,3292,,,99433099999,4.1168024,7.9111111,1.8722222,14.388889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-07,6,0,,,65,2,,,,,,-25,-1,,-3,-36,15,,43.72,-87.66,,3292,,,99433099999,4.1168024,9.3833333,5.2611111,13.672222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-08,0,0,,,65,2,,,,,,-31,-1,56,-2,-36,17,,43.72,-87.66,,3292,,,99433099999,4.1168024,2.9,0.38888889,7.3833333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-09,0,0,,,65,2,,,,,,-26,27,,34,-21,8,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.4111111,-1.4388889,13.988889,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-10,1,0,,,66,2,,,,,,-30,-2,14,8,-24,7,,43.72,-87.66,,3292,,,99433099999,4.1168024,5.8444444,2.4388889,12.827778,0.09525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WI_55117,Q500803,geoId/55117,US,United States of America,WI,Wisconsin,55117,Sheboygan County,US,USA,2,2020-05-11,0,0,,,66,2,,,,,,-24,-6,,0,-34,14,,43.72,-87.66,,3292,,,99433099999,4.1168024,4.7111111,2.2722222,8.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115569,,,,,,,,,,,,,,,,,,,,,,,,,,,
