key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-04-27,,,,,1,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,7.7160494,4.0740741,14.024691,6.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-04-28,1,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,9.808642,3.5802469,19.179012,0.66675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-04-29,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,15.475309,6.6419753,23.722222,1.1853333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-04-30,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,12.123457,8.2407407,21.037037,23.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-01,0,0,,,2,0,,,,,,,,,,-54,,,38.32,-80.01,815,2439,,,72411593757,44.484248,8.5185185,6.4012346,12.790123,10.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-02,0,0,,,2,0,,,,,,,,-59,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,12.179012,4.0617284,22.098765,0.33866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-03,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,18.345679,12.024691,23.648148,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-04,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,16.283951,10.098765,22.839506,17.36725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-05,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,9.9938272,6.5925926,17.537037,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-06,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,7.3148148,4.2592593,11.67284,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-07,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,7.3518519,-0.24691358,15.826389,1.1853333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-08,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,10.308642,0.92592593,15.901235,1.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-09,0,0,,,2,0,,,,,,,,-45,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,2.2530864,-2.1234568,9.9753086,10.752667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_WV_54075,Q501312,geoId/54075,US,United States of America,WV,West Virginia,54075,Pocahontas County,US,USA,2,2020-05-10,0,0,,,2,0,,,,,,,,,,,,,38.32,-80.01,815,2439,,,72411593757,44.484248,6.5493827,-2.0925926,17.771605,0.056444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8607,,,,,,,,,,,,,,,,,,,,,,,,,,,
