key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2019-12-30,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,,,,,,,,,,,,,,,,,,,,,,,,,,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2019-12-31,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,,,,,,,,,,,,,,,,,,,,,,,,,,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-01,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,25.027778,19.727778,28.944444,6.3754,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-02,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,24.811111,20.794444,28.266667,3.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-03,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,24.611111,20.044444,29.15,1.1176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-04,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,24.644444,20.166667,29.316667,0.3048,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-05,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,24.327778,18.988889,29.611111,0.4064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-06,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,24.838889,19.016667,29.922222,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-07,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,25.205556,19.883333,30.355556,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-08,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,25.172222,21.055556,30.116667,1.905,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
VN,Q881,country/VNM,VN,Vietnam,,,,,VN,VNM,0,2020-01-09,0,0,,,0,0,,,245213686369,2567,0.666,,,,,,,49915,16,108,,331230,318130,7589,48855099999,21.830596,25.372222,20.144444,30.555556,0.0508,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.317,22.8,6,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.57596,58.64341,95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,0.694,15554223,13891939,16151802,16741962,13716902,11142606,7401005,2806616,1566006,391501,,,,,,,,,
