key,gdp,gdp_per_capita,human_capital_index
AD,3012914131,39146,
AE,382575085092,40698,
AF,20815300220,550,
AG,1532397556,14803,
AL,13039352744,4537,
AM,11536590636,3936,
AO,124209385825,4100,
AR,637590419269,14398,
AS,,11394,
AT,416595666397,47380,
AU,1323421072479,53793,
AW,,25655,
AZ,40747792238,4135,
BA,18168579578,5148,
BB,4796845981,16356,
BD,249723887765,1516,
BE,492681283049,43467,
BF,12873114800,642,
BG,56831518294,8228,
BH,35307127660,23739,
BI,3477502178,292,
BJ,9273558272,827,
BM,,85748,
BN,12128089002,28290,
BO,37508642113,3393,
BR,2055505502225,9812,
BR_RS,115000000000,10244,
BS,12162100000,30762,
BT,2511852941,3130,
BW,17406530781,7595,
BY,54442374373,5733,
BZ,1838000000,4971,
CA,1653042795255,44870,
CD,37241300949,462,
CF,1949411659,323,
CG,8722553001,1654,
CH,678887336848,80342,
CI,40388624117,1399,
CL,277075944402,15346,
CM,34798596482,1451,
CN,12237700479375,8826,
CN_HK,,46193,
CN_MO,50361201096,78586,
CO,309191382833,6408,
CR,57057372468,11677,
CU,87132800000,8433,
CV,1753736712,3244,
CW,,20500,
CY,21651791751,25658,
CZ,215725534372,20379,
CZ_10,1112788000000,,
DE,3677439129777,44665,
DE_BY,522000000000,39691,
DE_SN,113000000000,28000,
DE_ST,56000000000,24000,
DJ,1844674435,1927,
DK,324871968807,57218,
DM,562540741,6719,
DO,75931656815,7052,
DZ,170370810918,4055,
EC,103056619000,6273,
EE,30312000000,20200,
EG,235369129338,2412,
ER,2607739837,582,
ES,1311320015516,28208,
ES_CB,12918000000,,
ES_CL,53988901000,21727,
ES_CM,37844000000,18307,
ES_CT,232522265640,33661,
ES_EX,17334000000,16028,
ES_NC,18121000000,,
ES_PV,68817000000,35300,
ES_RI,7974000000,25507,
ET,80561496134,767,
FI,251884887973,45804,
FJ,5061202767,5589,
FR,2582501307216,38484,
GA,14622880886,7413,
GB,2622433959604,39953,
GB_ENG,2286295170684,40000,
GB_SCT,237618000000,43740,
GB_WLS,97760000000,31148,
GD,1118816679,10451,
GH,47330016343,2046,
GM,1014621520,709,
GN,10496056733,823,
GQ,12486753871,9697,
GR,200288277129,18885,
GT,75620095538,4470,
GW,1346933490,723,
GY,3675631961,4655,
HK,,46193,
HN,22978532897,2480,
HR,54849180229,13386,
HT,8408150518,765,
HU,139135029758,14278,
ID,1015539017536,3846,
IL,350850537827,40543,
IN,2597491162898,1979,
IQ,197715736041,5017,
IR,439513511621,5593,
IS,23909289979,71311,
IT,1934797937411,32110,
JM,14768134912,5114,
JO,40068308516,4129,
JP,4872136945508,38430,
KE,74938190655,1594,
KG,7564738836,1220,
KH,22158209503,1384,
KI,196150061,1594,
KM,648920943,1312,
KN,945854481,17924,
KP,16282601357,,
KR,1530750923149,29742,
KW,120126277613,29040,
KY,,64103,
KZ,159406926359,9030,
LA,16853079615,2457,
LB,51844487742,8808,
LC,1712306556,9715,
LI,6289165410,164993,
LK,87174682200,4073,
LR,2158000000,694,
LS,2639386291,1154,
LT,47168303744,16809,
LU,62404461275,101450,
LV,30264454642,15684,
LY,50984362478,5978,
MA,109139484007,3022,
MC,6074884389,168010,
MD,8128493432,2290,
ME,4774086094,7784,
MG,11499803807,449,
MH,199399247,3843,
ML,15288163367,827,
MM,69322122756,1256,
MN,11488046881,3717,
MO,50361201096,78586,
MP,,28888,
MR,5024705934,1136,
MT,12537750732,26748,
MU,13338147523,10490,
MV,4597083304,11151,
MW,6303277591,338,
MX,1149918794766,8910,
MY,314500279044,9951,
MZ,12333859926,426,
"NA",13244597345,5230,
NE,8119732793,378,
NG,375770713743,1968,
NI,13814261536,2221,
NL,826200282501,48482,
NO,398831956478,75704,
NP,24472013234,849,
NR,113884908,8844,
NZ,205852838255,42583,
OM,72642652796,15267,
PA,61838175800,15196,
PE,211389272242,6571,
PG,21088758485,2488,
PH,313595208737,2988,
PK,304951818494,1547,
PL,524509565263,13863,
PR,,30518,
PT,217571083046,21291,
PW,291544300,13338,
PY,29734895249,5823,
QA,167605219780,63249,
RO,211803281925,10819,
RS,41431648801,5901,
RU,1577524145963,10749,
RU_MOW,14300000000000,1157000,
RU_TA,14300000000,20900,
RW,9136689514,748,
SA,683827144289,20849,
SB,1303453616,2132,
SC,1485994387,15629,
SD,117487857143,2898,
SE,538040458217,53253,
SG,323907234412,57714,
SI,48769655479,23601,
SK,95769031980,17579,
SL,3774270392,499,
SM,1658778454,48888,
SN,16374743753,1329,
SO,7368560695,478,
SR,3324385325,5317,
SS,2904114903,237,
ST,390871569,1921,
SV,24805439600,3889,
SY,60200000000,2058,
SZ,4408564260,3242,
TD,9981303726,662,
TG,4812554346,610,
TH,455220920571,6595,
TJ,7145701019,801,
TL,2954621000,2279,
TM,42355428571,6586,
TN,40256675209,3464,
TO,426057453,3959,
TR,851102411118,10546,
TT,22104775828,16126,
TV,39731317,3549,
TW,566757000000,,
TZ,52090320325,958,
UA,112154185121,2639,
UG,25891058946,606,
US,19390604000000,59927,
US_AS,,11394,
US_MP,,28888,
US_PR,,30518,
UY,56156972158,16245,
UZ,48717685984,1533,
VC,789629630,7145,
VE,482359318768,15692,
VN,234189000000,2342,
VU,862879789,3123,
WS,856626506,4280,
XK,7128690557,3957,
YE,18213328571,1106,
ZA,349419343614,5724,
ZM,25808666422,1513,
ZW,17845821400,1333,
