date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2018-11-21,AR,0,0,,1,1,,,,
2018-11-21,AR_B,0,0,,1,1,,,,
2018-11-21,AR_B_490,0,0,,1,1,,,,
2019-10-25,AR,0,0,,1,2,,,,
2019-10-25,AR_B,0,0,,1,2,,,,
2019-10-25,AR_B_412,0,0,,1,1,,,,
2019-12-19,AR,0,0,,1,3,,,,
2019-12-19,AR_C,0,0,,1,1,,,,
2020-01-01,AR,1,1,,0,3,,,,
2020-01-01,AR_C,1,1,,0,1,,,,
2020-01-07,AR,1,2,,0,3,,,,
2020-01-07,AR_B,1,1,,0,2,,,,
2020-01-07,AR_B_805,1,1,,0,0,,,,
2020-01-13,AR,1,3,,0,3,,,,
2020-01-13,AR_C,1,2,,0,1,,,,
2020-01-17,AR,2,5,,0,3,,,,
2020-01-17,AR_B,1,2,,0,2,,,,
2020-01-17,AR_B_077,1,1,,0,0,,,,
2020-01-17,AR_M,1,1,,0,0,,,,
2020-01-17,AR_M_119,1,1,,0,0,,,,
2020-01-21,AR,1,6,,0,3,,,,
2020-01-21,AR_D,1,1,,0,0,,,,
2020-01-21,AR_D_035,1,1,,0,0,,,,
2020-01-23,PH_07,1,1,,,,,,,
2020-01-23,PH_07_BOH,1,1,,,,,,,
2020-01-31,PH_07,0,1,,,,,,,
2020-01-31,PH_07_BOH,0,1,,,,,,,
2020-02-01,AR,1,7,,0,3,,,,
2020-02-01,AR_B,1,3,,0,2,,,,
2020-02-01,AR_B_658,1,1,,0,0,,,,
2020-02-01,PH_07,0,1,,,,,,,
2020-02-01,PH_07_NER,0,0,,,,,,,
2020-02-06,AR,1,8,,0,3,,,,
2020-02-06,AR_B,1,4,,0,2,,,,
2020-02-06,AR_B_077,1,2,,0,0,,,,
2020-02-11,ZA,,,,,0,,,0,
2020-02-13,AR,1,9,,1,4,,,,
2020-02-13,AR_B,1,5,,1,3,,,,
2020-02-13,AR_B_441,1,1,,1,1,,,,
2020-02-13,ZA,,,,0,0,,0,0,
2020-02-14,AR,2,11,,0,4,,,,
2020-02-14,AR_B,1,6,,0,3,,,,
2020-02-14,AR_B_648,1,1,,0,0,,,,
2020-02-14,AR_C,1,3,,0,1,,,,
2020-02-14,ZA,,,,0,0,,0,0,
2020-02-15,AR,2,13,,0,4,,,,
2020-02-15,AR_C,2,5,,0,1,,,,
2020-02-17,AR,1,14,,0,4,,,,
2020-02-17,AR_M,1,2,,0,0,,,,
2020-02-17,AR_M_021,1,1,,0,0,,,,
2020-02-19,ZA,,,,0,0,,0,0,
2020-02-20,ES_VC,,26,,,0,,,,
2020-02-20,ZA,,,,0,0,,0,0,
2020-02-21,ES_VC,4,30,,1,1,,,,
2020-02-22,ES_VC,3,33,,0,1,,,,
2020-02-23,ES_VC,5,38,,1,2,,,,
2020-02-24,AR,1,15,,0,4,,,,
2020-02-24,AR_M,1,3,,0,0,,,,
2020-02-24,AR_M_028,1,1,,0,0,,,,
2020-02-24,ES_VC,11,49,,0,2,,,,
2020-02-24,LU,,,,,,0,,,
2020-02-24,ZA,,,,0,0,,0,0,
2020-02-25,AR,1,16,,0,4,,,,
2020-02-25,CH_GE,,0,,,0,,,0,
2020-02-25,CH_TI,,0,,,0,,,0,
2020-02-25,ES_VC,9,58,,0,2,,,,
2020-02-25,LU,,,,,,0,,,
2020-02-26,AR,7,23,,0,4,,,,
2020-02-26,AR_B,1,7,,0,3,,,,
2020-02-26,AR_B_252,1,1,,0,0,,,,
2020-02-26,AR_C,5,10,,0,1,,,,
2020-02-26,AR_C_003,1,1,,0,0,,,,
2020-02-26,AR_H,1,1,,0,0,,,,
2020-02-26,AR_H_140,1,1,,0,0,,,,
2020-02-26,CH_GE,1,1,,0,0,,0,0,
2020-02-26,CH_GR,,0,,,0,,,0,
2020-02-26,CH_TI,0,0,,0,0,,0,0,
2020-02-26,ES_VC,5,63,,1,3,,,,
2020-02-26,LU,,,,,,0,,,
2020-02-26,ZA,,,,0,0,,0,0,
2020-02-27,AR,5,28,,0,4,,,,
2020-02-27,AR_B,2,9,,0,3,,,,
2020-02-27,AR_B_035,1,1,,0,0,,,,
2020-02-27,AR_B_091,1,1,,0,0,,,,
2020-02-27,AR_W,1,1,,0,0,,,,
2020-02-27,AR_W_021,1,1,,0,0,,,,
2020-02-27,AR_X,1,1,,0,0,,,,
2020-02-27,AR_X_014,1,1,,0,0,,,,
2020-02-27,CH_GE,0,1,,0,0,,0,0,
2020-02-27,CH_GR,0,0,,0,0,,0,0,
2020-02-27,CH_JU,,1,,,0,,,,
2020-02-27,CH_TI,0,0,,0,0,,0,0,
2020-02-27,ES_VC,10,73,,0,3,,,,
2020-02-27,LU,,,,,,0,,,
2020-02-27,MX,2,2,,1,1,,,,
2020-02-27,MX_AGU,0,0,,0,0,,,,
2020-02-27,MX_BCN,0,0,,0,0,,,,
2020-02-27,MX_BCS,0,0,,0,0,,,,
2020-02-27,MX_CAM,0,0,,0,0,,,,
2020-02-27,MX_CHH,0,0,,0,0,,,,
2020-02-27,MX_CHP,0,0,,0,0,,,,
2020-02-27,MX_CMX,2,2,,1,1,,,,
2020-02-27,MX_COA,0,0,,0,0,,,,
2020-02-27,MX_COL,0,0,,0,0,,,,
2020-02-27,MX_DUR,0,0,,0,0,,,,
2020-02-27,MX_GRO,0,0,,0,0,,,,
2020-02-27,MX_GUA,0,0,,0,0,,,,
2020-02-27,MX_HID,0,0,,0,0,,,,
2020-02-27,MX_JAL,0,0,,0,0,,,,
2020-02-27,MX_MEX,0,0,,0,0,,,,
2020-02-27,MX_MIC,0,0,,0,0,,,,
2020-02-27,MX_MOR,0,0,,0,0,,,,
2020-02-27,MX_NAY,0,0,,0,0,,,,
2020-02-27,MX_NLE,0,0,,0,0,,,,
2020-02-27,MX_OAX,0,0,,0,0,,,,
2020-02-27,MX_PUE,0,0,,0,0,,,,
2020-02-27,MX_QUE,0,0,,0,0,,,,
2020-02-27,MX_ROO,0,0,,0,0,,,,
2020-02-27,MX_SIN,0,0,,0,0,,,,
2020-02-27,MX_SLP,0,0,,0,0,,,,
2020-02-27,MX_SON,0,0,,0,0,,,,
2020-02-27,MX_TAB,0,0,,0,0,,,,
2020-02-27,MX_TAM,0,0,,0,0,,,,
2020-02-27,MX_TLA,0,0,,0,0,,,,
2020-02-27,MX_VER,0,0,,0,0,,,,
